"var","categoria","Si","Puede ser","No"
"P06","Julio Zamora",0.51,0.402,0.226
"P06","Segundo Cernadas",0.229,0.148,0.152
"P06","Otro candidato",0.146,0.139,0.223
"P06","En blanco",0.058,0.013,0.245
"P06","No sabe",0.057,0.298,0.154
"P07","Victoria Tolosa Paz para diputada nacional y Gisela Zamora para concejal por el frente de todos",0.4,0.312,0.201
"P07","Santilli para diputado nacional y Segundo cernadas para concejal por Juntos",0.3,0.265,0.094
"P07","Manes para diputado nacional y Nicolas massot para concejal por juntos",0.082,0.062,0.066
"P07","Espert para diputado nacional y Juan José Cervetto para concejal por avanza libertad",0.065,0.008,0.032
"P07","Espert para diputado nacional y Martin Liserre Moreno para concejal por Republicanos unidos",0.027,0.027,0.025
"P07","Randazzo para diputado nacional y Matias Orfo para concejal por Vamos con vos",0.018,0,0.027
"P07","Randazzo para diputado nacional y Oscar Hurtado para concejal por vamos con vos",0.002,0,0.01
"P07","Guillermo Moreno para diputado nacional y Andrés “Pichon” Flores para concejal por principios y valores",0.035,0.016,0.105
"P07","A los candidatos de la izquierda",0.012,0.012,0.056
"P07","En blanco o anularía",0.026,0.204,0.29
"P07","Cortaría Boleta",0.033,0.094,0.094
"P08","Victoria Tolosa Paz por el frente de todos",0.62,0.014,0.022
"P08","Santilli dentro de la interna de Juntos",0.001,0,0.007
"P08","Manes dentro de la interna de juntos",0.024,0.155,0
"P08","Espert por avanza libertad",0.001,0,0
"P08","Randazzo por Vamos con vos",0.081,0,0
"P08","Guillermo Moreno por principios y valores",0.002,0,0
"P08","A los candidatos de la izquierda",0.001,0.039,0.003
"P08","En blanco o anularía",0.27,0.792,0.968
"P09","Gisela Zamora por el frente de todos",0.575,0.023,0.733
"P09","Segundo cernadas dentro de la interna Juntos",0.182,0,0.016
"P09","Nicolas massot dentro de la interna por juntos",0.001,0.048,0
"P09","Juan José Cervetto dentro de la interna de avanza libertad",0.001,0,0
"P09","Martin Liserre Moreno por Republicanos unidos dentro de la interna de Avanza libertad",0.081,0,0
"P09","Matias Orfo dentro de la interna de vamos con vos",0.001,0,0
"P09","Oscar Hurtado dentro de la interna de vamos con vos",0,0.039,0.003
"P09","Andrés “Pichon” Flores por principios y valores",0.012,0.004,0
"P09","A los candidatos de la izquierda",0.001,0.005,0.003
"P09","En blanco o anularía",0.146,0.881,0.245
"P11","Si",0.906,0.546,0.64
"P11","No",0.094,0.454,0.36
"P12","Muy buena",0.302,0.222,0.16
"P12","Buena",0.144,0.136,0.021
"P12","Ni buena ni mala",0.088,0.241,0.122
"P12","Mala",0.07,0.08,0.28
"P12","Muy mala",0.388,0.221,0.401
"P12","No sabe",0.008,0.1,0.016
"P13","Muy buena",0.331,0.235,0.204
"P13","Buena",0.075,0.035,0.035
"P13","Ni buena ni mala",0.075,0.147,0.12
"P13","Mala",0.057,0.057,0.187
"P13","Muy mala",0.445,0.352,0.429
"P13","No sabe",0.017,0.174,0.025
"P14","Muy buena",0.135,0.054,0.178
"P14","Buena",0.103,0.076,0.031
"P14","Ni buena ni mala",0.203,0.36,0.219
"P14","Mala",0.153,0.082,0.134
"P14","Muy mala",0.384,0.345,0.42
"P14","No sabe",0.022,0.083,0.018
"P15","Muy buena",0.232,0.122,0.292
"P15","Buena",0.206,0.23,0.215
"P15","Ni buena ni mala",0.175,0.202,0.247
"P15","Mala",0.113,0.049,0.02
"P15","Muy mala",0.25,0.142,0.199
"P15","No sabe",0.024,0.255,0.027
