"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"Diego Santilli y Facundo Manes por “Juntos”",0.367,0.398,0.338,0.249,0.347,0.425,0.536,0.397,0.297,0.445,0.424,0.279,0.345,0.175,0.759,0.357,0.072,0.749,0.872,0.296,0,0.283,0.123,0.011,0.175,0.364
"Victoria Tolosa Paz por el Frente de todos",0.344,0.294,0.39,0.273,0.374,0.362,0.338,0.336,0.38,0.295,0.33,0.349,0.356,0.596,0.086,0.062,0.82,0.132,0.012,0.168,0.134,0,0,0.201,0.018,0.209
"Nicolás del Caño por el Frente de Izquierda",0.063,0.069,0.058,0.126,0.064,0.02,0.025,0.065,0.06,0.066,0.056,0.057,0.073,0.031,0.023,0.256,0.017,0.041,0.03,0,0.64,0,0.05,0.037,0.273,0.098
"José Luis Espert por “Avanza Libertad”",0.062,0.091,0.036,0.166,0.022,0.059,0.022,0.082,0.048,0.061,0.055,0.113,0.049,0.051,0.05,0.156,0.03,0.034,0.048,0.337,0.157,0.685,0,0,0,0.095
"Florencio Randazzo por “Vamos con vos”",0.022,0.016,0.027,0.019,0.019,0.036,0.01,0.007,0.025,0.035,0.027,0.031,0.012,0.033,0.018,0,0.034,0.014,0.005,0.112,0,0,0,0,0,0.015
"Cynthia Hotton por “+Valores”",0.018,0.034,0.004,0,0.029,0.016,0.019,0.036,0.004,0.02,0,0.013,0.039,0.019,0.005,0,0.003,0,0,0.065,0,0,0.703,0.01,0,0.004
"Ninguna en particular",0.073,0.053,0.091,0.097,0.082,0.065,0.018,0.046,0.093,0.074,0.058,0.096,0.079,0.044,0.035,0.169,0.009,0.03,0.02,0.022,0.069,0.032,0.094,0.532,0.228,0.096
"No sabe",0.051,0.045,0.056,0.07,0.063,0.017,0.032,0.031,0.093,0.004,0.05,0.062,0.047,0.051,0.024,0,0.015,0,0.013,0,0,0,0.03,0.209,0.306,0.119
