"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"A Tolosa Paz por el Frente de Todos",0.349,0.335,0.363,0.218,0.382,0.403,0.378,0.348,0.383,0.296,0.3,0.395,0.381,0.602,0.095,0.07,0.786,0.161,0.032,0.056,0.181,0,0,0.249,0.032,0.255
"A Santilli y Manes por Juntos",0.409,0.38,0.435,0.353,0.397,0.421,0.518,0.441,0.334,0.489,0.513,0.331,0.331,0.223,0.797,0.357,0.124,0.749,0.878,0.342,0.013,0.237,0.034,0.157,0.302,0.436
"A del Caño por el Frente de Izquierda",0.07,0.091,0.051,0.178,0.053,0.016,0.034,0.096,0.069,0.041,0.08,0.036,0.075,0.06,0.009,0.237,0.047,0.037,0.034,0,0.674,0,0,0.018,0.204,0.109
"A Espert por Avanza libertad",0.055,0.081,0.031,0.098,0.047,0.061,0,0.037,0.061,0.068,0.047,0.096,0.045,0.036,0.036,0.265,0.002,0.046,0.046,0.379,0.056,0.699,0,0.07,0,0.067
"A Randazzo por ""Vamos con vos""",0.018,0.002,0.033,0.044,0.01,0.006,0.02,0.008,0.021,0.026,0.011,0.008,0.031,0.013,0.029,0.024,0.012,0.003,0,0.163,0.064,0.026,0,0,0,0.031
"A Hotton por “+Valores”",0.039,0.064,0.015,0.032,0.054,0.037,0.004,0.043,0.032,0.044,0.006,0.062,0.064,0.035,0.019,0,0.009,0,0,0.06,0.012,0.038,0.878,0.261,0,0.005
"Votaría en blanco o anularía",0.06,0.047,0.072,0.077,0.057,0.056,0.046,0.027,0.1,0.036,0.043,0.072,0.073,0.031,0.015,0.047,0.02,0.004,0.01,0,0,0,0.088,0.245,0.462,0.097
