"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"Horacio Rodriguez Larreta","Muy buena",0.185,0.185,0.186,0.074,0.177,0.202,0.387,0.224,0.175,0.157,0.202,0.15,0.184,0.046,0.502,0.11,0.02,0.402,0.481,0.232,0,0.083,0.099,0.16,0.118,0.116
"Horacio Rodriguez Larreta","Buena",0.22,0.198,0.242,0.281,0.197,0.211,0.2,0.303,0.13,0.273,0.224,0.217,0.218,0.135,0.311,0.256,0.11,0.281,0.299,0.411,0.52,0.286,0.541,0.072,0.015,0.248
"Horacio Rodriguez Larreta","Ni buena ni mala",0.219,0.24,0.198,0.324,0.209,0.197,0.096,0.191,0.242,0.211,0.28,0.209,0.165,0.273,0.077,0.398,0.189,0.115,0.157,0.213,0.013,0.173,0.027,0.396,0.425,0.402
"Horacio Rodriguez Larreta","Mala",0.117,0.1,0.133,0.159,0.101,0.124,0.08,0.083,0.135,0.128,0.12,0.07,0.134,0.176,0.027,0.104,0.215,0.08,0.022,0,0.153,0.162,0.179,0.064,0.088,0.072
"Horacio Rodriguez Larreta","Muy mala",0.243,0.272,0.215,0.162,0.296,0.249,0.206,0.189,0.288,0.231,0.164,0.308,0.29,0.361,0.076,0.132,0.457,0.113,0.024,0.144,0.26,0.296,0.154,0.308,0.18,0.156
"Horacio Rodriguez Larreta","No sabe",0.016,0.005,0.026,0,0.02,0.017,0.031,0.01,0.03,0,0.01,0.046,0.009,0.009,0.007,0,0.009,0.009,0.017,0,0.054,0,0,0,0.174,0.006
"CFK","Muy buena",0.27,0.284,0.258,0.224,0.303,0.238,0.294,0.261,0.327,0.195,0.234,0.277,0.302,0.451,0.068,0.185,0.647,0.07,0,0,0.126,0.029,0,0.243,0.091,0.152
"CFK","Buena",0.108,0.109,0.108,0.158,0.1,0.121,0.038,0.096,0.122,0.101,0.078,0.173,0.112,0.178,0.022,0.155,0.175,0.057,0.07,0.231,0.089,0.003,0.053,0.029,0,0.107
"CFK","Ni buena ni mala",0.093,0.069,0.114,0.089,0.089,0.107,0.088,0.131,0.095,0.047,0.117,0.077,0.077,0.132,0.03,0.023,0.091,0,0.081,0,0.151,0,0.328,0.047,0.057,0.231
"CFK","Mala",0.083,0.084,0.082,0.153,0.067,0.045,0.089,0.05,0.106,0.085,0.099,0.076,0.071,0.07,0.095,0.096,0.016,0.085,0.086,0.085,0.06,0.089,0,0.18,0.29,0.147
"CFK","Muy mala",0.433,0.441,0.425,0.376,0.42,0.47,0.491,0.45,0.331,0.566,0.465,0.334,0.438,0.169,0.767,0.541,0.071,0.785,0.757,0.684,0.508,0.855,0.619,0.427,0.405,0.363
"CFK","No sabe",0.013,0.013,0.013,0,0.021,0.019,0,0.012,0.019,0.006,0.007,0.063,0,0,0.018,0,0,0.003,0.006,0,0.066,0.024,0,0.074,0.157,0
"Alberto Fernandez","Muy buena",0.183,0.162,0.201,0.177,0.201,0.154,0.181,0.209,0.217,0.1,0.158,0.205,0.198,0.279,0.09,0.191,0.382,0.067,0.065,0,0.096,0.032,0,0.224,0.135,0.112
"Alberto Fernandez","Buena",0.157,0.141,0.171,0.043,0.187,0.211,0.143,0.126,0.203,0.121,0.143,0.152,0.171,0.294,0.016,0.024,0.387,0.002,0.044,0.101,0.084,0,0,0.03,0.04,0.103
