"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"Diego Santilli y Facundo Manes por “Juntos”",0.396,0.37,0.418,0.371,0.439,0.385,0.317,0.42,0.394,0.369,0.337,0.414,0.447,0.571,0.193,0.346,0.759,0.275,0.023,0.587,0.46,0.092,0.357,0.423,0.017,0.142
"Victoria Tolosa Paz por el Frente de todos",0.386,0.405,0.369,0.327,0.38,0.417,0.455,0.343,0.344,0.505,0.422,0.384,0.35,0.172,0.732,0.443,0.057,0.693,0.827,0.388,0.383,0.802,0.169,0.254,0.291,0.401
"Nicolás del Caño por el Frente de Izquierda",0.036,0.059,0.014,0.079,0.009,0.029,0.054,0.042,0.034,0.031,0.056,0.011,0.025,0.034,0.013,0.154,0.013,0.005,0.056,0.025,0,0.054,0,0,0.056,0.133
"José Luis Espert por “Avanza Libertad”",0.027,0.043,0.013,0.039,0.024,0.032,0.009,0.039,0.027,0.015,0.022,0.025,0.034,0.04,0.019,0,0.069,0.003,0,0,0.011,0.025,0,0.045,0,0.011
"Florencio Randazzo por “Vamos con vos”",0.025,0.03,0.021,0.069,0.012,0.021,0,0.038,0.015,0.027,0.025,0,0.036,0.05,0,0,0.045,0.002,0,0,0,0,0,0,0,0.072
"Cynthia Hotton por “+Valores”",0.019,0.02,0.018,0.065,0.001,0.013,0.002,0,0.038,0.009,0.027,0.002,0.017,0.004,0,0,0.001,0,0.013,0,0.024,0,0,0.015,0.21,0.04
"Ninguna en particular",0.082,0.051,0.111,0.05,0.103,0.055,0.121,0.083,0.108,0.04,0.078,0.098,0.08,0.094,0.033,0.057,0.02,0.022,0.051,0,0.11,0.027,0.474,0.252,0.214,0.17
"No sabe",0.029,0.022,0.036,0,0.032,0.048,0.042,0.035,0.04,0.004,0.033,0.066,0.011,0.035,0.01,0,0.036,0,0.03,0,0.012,0,0,0.011,0.212,0.031
