"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"Horacio Rodriguez Larreta","Positiva",0.405,0.383,0.428,0.355,0.374,0.413,0.587,0.527,0.305,0.43,0.426,0.367,0.402,0.181,0.813,0.366,0.13,0.683,0.78,0.643,0.52,0.369,0.64,0.232,0.133,0.364
"Horacio Rodriguez Larreta","Neutra",0.219,0.24,0.198,0.324,0.209,0.197,0.096,0.191,0.242,0.211,0.28,0.209,0.165,0.273,0.077,0.398,0.189,0.115,0.157,0.213,0.013,0.173,0.027,0.396,0.425,0.402
"Horacio Rodriguez Larreta","Negativa",0.36,0.372,0.348,0.321,0.397,0.373,0.286,0.272,0.423,0.359,0.284,0.378,0.424,0.537,0.103,0.236,0.672,0.193,0.046,0.144,0.413,0.458,0.333,0.372,0.268,0.228
"Horacio Rodriguez Larreta","No sabe",0.016,0.005,0.026,0,0.02,0.017,0.031,0.01,0.03,0,0.01,0.046,0.009,0.009,0.007,0,0.009,0.009,0.017,0,0.054,0,0,0,0.174,0.006
"Malena Galmarini","Positiva",0.258,0.242,0.273,0.269,0.259,0.246,0.253,0.292,0.273,0.193,0.225,0.235,0.299,0.398,0.136,0.124,0.538,0.173,0.096,0,0.046,0,0.392,0,0.063,0.149
"Malena Galmarini","Neutra",0.253,0.263,0.243,0.271,0.226,0.258,0.298,0.188,0.305,0.241,0.293,0.247,0.217,0.272,0.176,0.275,0.286,0.117,0.206,0.178,0.264,0.317,0.302,0.082,0.379,0.42
"Malena Galmarini","Negativa",0.427,0.433,0.422,0.362,0.452,0.467,0.398,0.474,0.367,0.474,0.43,0.426,0.425,0.294,0.608,0.419,0.17,0.655,0.669,0.822,0.69,0.565,0.306,0.441,0.387,0.357
"Malena Galmarini","No sabe",0.062,0.062,0.062,0.098,0.063,0.029,0.051,0.046,0.055,0.092,0.052,0.092,0.059,0.036,0.08,0.182,0.006,0.055,0.029,0,0,0.118,0,0.477,0.171,0.074
"Alberto Fernandez","Positiva",0.34,0.303,0.372,0.22,0.388,0.365,0.324,0.335,0.42,0.221,0.301,0.357,0.369,0.573,0.106,0.215,0.769,0.069,0.109,0.101,0.18,0.032,0,0.254,0.175,0.215
"Alberto Fernandez","Neutra",0.168,0.142,0.192,0.338,0.126,0.152,0.076,0.161,0.178,0.162,0.187,0.291,0.104,0.222,0.043,0.177,0.141,0.116,0.062,0.419,0.143,0.05,0,0.11,0.197,0.343
"Alberto Fernandez","Negativa",0.485,0.539,0.436,0.442,0.475,0.471,0.6,0.497,0.39,0.616,0.509,0.349,0.514,0.201,0.849,0.557,0.073,0.815,0.825,0.48,0.612,0.916,1,0.636,0.628,0.442
"Alberto Fernandez","No sabe",0.007,0.016,0,0,0.011,0.012,0,0.007,0.012,0.001,0.003,0.003,0.013,0.004,0.002,0.051,0.017,0,0.004,0,0.065,0.002,0,0,0,0
"Sergio Massa","Positiva",0.269,0.256,0.28,0.316,0.262,0.251,0.251,0.253,0.36,0.148,0.29,0.219,0.267,0.403,0.104,0.204,0.52,0.155,0.096,0.09,0.113,0,0,0,0.224,0.252
"Sergio Massa","Neutra",0.203,0.205,0.202,0.215,0.206,0.213,0.162,0.198,0.216,0.191,0.171,0.266,0.211,0.291,0.064,0.226,0.301,0.084,0.044,0.25,0.127,0.026,0.646,0.112,0.173,0.239
