"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P10","Unión por la Patria",0.412,0.245,0.278
"P10","Juntos por el Cambio",0.265,0.229,0.21
"P10","De los liberales libertarios",0.213,0.251,0.155
"P10","De la Izquierda",0.031,0.046,0.078
"P10","Hacemos por nuestro país",0.017,0.006,0.022
"P10","Otro",0.024,0.054,0.032
"P10","En blanco",0.01,0.073,0.116
"P10","No sabe",0.028,0.096,0.109
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.446,0.354,0.185
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.255,0.187,0.328
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.216,0.112,0.079
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.027,0.032,0.074
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.02,0.079,0.017
"P20","En blanco",0.009,0.049,0.186
"P20","No sabe",0.027,0.187,0.131
"P26","Totalmente seguro",0.786,0.281,0.369
"P26","Bastante seguro",0.082,0.287,0.006
"P26","Algo seguro",0.062,0.121,0.415
"P26","Para nada seguro",0.07,0.311,0.21
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.493,0.23,0.388
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.324,0.344,0.369
"P28","En blanco",0.098,0.131,0.148
"P28","No sabe",0.085,0.295,0.095
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.361,0.275,0.436
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.23,0.33,0.299
"P29","En blanco",0.259,0.09,0.126
"P29","No sabe",0.15,0.305,0.139
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.505,0.198,0.382
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.28,0.364,0.403
"P30","En blanco",0.122,0.175,0.167
"P30","No sabe",0.093,0.263,0.048
"P38","Inflación",0.348,0.294,0.4
"P38","Desempleo",0.085,0.068,0.047
"P38","Corrupción",0.284,0.264,0.286
"P38","Inseguridad",0.127,0.246,0.153
"P38","Precio del dólar",0.034,0.044,0
"P38","Pobreza",0.049,0,0.061
"P38","Narcotráfico",0.01,0.024,0.028
"P38","Tarifas",0.003,0.005,0
"P38","Otro",0.049,0.013,0.025
"P38","No sabe",0.011,0.042,0
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.416,0.247,0.128
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.264,0.272,0.205
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.207,0.107,0.217
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.034,0.032,0.094
"GOBERNADOR","En blanco",0.052,0.155,0.225
"GOBERNADOR","No sabe",0.027,0.187,0.131
"CORTA_GOBERNADOR","Si",0.14,0.237,0.245
"CORTA_GOBERNADOR","No",0.86,0.763,0.755
"P10_imputada","Unión por la Patria",0.422,0.28,0.278
"P10_imputada","Juntos por el Cambio",0.273,0.263,0.21
"P10_imputada","De los liberales libertarios",0.219,0.251,0.181
"P10_imputada","De la Izquierda",0.033,0.046,0.095
"P10_imputada","Hacemos por nuestro país",0.017,0.006,0.088
"P10_imputada","Otro",0.024,0.079,0.032
"P10_imputada","En blanco",0.012,0.075,0.116
"P20_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.453,0.463,0.256
"P20_imputada","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.264,0.222,0.372
"P20_imputada","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.224,0.154,0.094
"P20_imputada","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.029,0.032,0.074
"P20_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.021,0.081,0.017
"P20_imputada","En blanco",0.009,0.048,0.187
"GOBERNADOR_imputada","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.427,0.303,0.147
"GOBERNADOR_imputada","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.27,0.335,0.237
"GOBERNADOR_imputada","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.212,0.131,0.25
"GOBERNADOR_imputada","Gobernador y vicegobernador de la izquierda",0.037,0.039,0.107
"GOBERNADOR_imputada","En blanco",0.054,0.192,0.259
