"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.484,0.444,0.519,0.462,0.508,0.495,0.442,0.502,0.468,0.487,0.753,0.189,0.312,0.522,0.412,0.823,0.698,0.099,0.229,0.137
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.287,0.358,0.224,0.415,0.292,0.245,0.161,0.229,0.324,0.299,0.138,0.429,0.403,0.265,0.328,0.084,0.178,0.3,0.361,0.797
"En blanco",0.126,0.12,0.132,0.081,0.107,0.134,0.22,0.15,0.113,0.119,0.067,0.211,0.218,0.116,0.146,0.06,0.086,0.328,0.251,0.033
"No sabe",0.103,0.078,0.125,0.042,0.093,0.126,0.177,0.119,0.095,0.095,0.042,0.171,0.067,0.097,0.114,0.033,0.038,0.273,0.159,0.033
