"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P10","Unión por la Patria",0.776,0.078,0.133,0.062
"P10","Juntos por el Cambio",0.092,0.61,0.096,0.052
"P10","De los liberales libertarios",0.074,0.247,0.583,0.39
"P10","De la Izquierda",0.021,0.017,0.078,0.106
"P10","Hacemos por nuestro país",0.009,0.019,0.012,0.033
"P10","Otro",0.01,0.011,0.01,0.133
"P10","En blanco",0.006,0.002,0.077,0.016
"P10","No sabe",0.012,0.016,0.011,0.208
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.839,0.069,0.109,0.131
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.074,0.619,0.093,0.079
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.053,0.242,0.608,0.362
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.012,0.02,0.062,0.107
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.011,0.027,0.02,0.07
"P20","En blanco",0.001,0.003,0.07,0.022
"P20","No sabe",0.01,0.02,0.038,0.229
"P26","Totalmente seguro",0.83,0.73,0.735,0.452
"P26","Bastante seguro",0.077,0.123,0.083,0.066
"P26","Algo seguro",0.056,0.08,0.04,0.144
"P26","Para nada seguro",0.037,0.067,0.142,0.338
"P27","Tiene Decidido que va a ir a votar",0.956,0.914,0.894,0.797
"P27","Tiene dudas sobre si va a ir a  votar",0.03,0.066,0.08,0.186
"P27","Tiene Decidido que no va a ir a votar",0.014,0.02,0.026,0.017
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.28,0.621,0.081,0.1
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.04,0.353,0.605,0.389
"P29","En blanco",0.455,0.005,0.274,0.058
"P29","No sabe",0.225,0.021,0.04,0.453
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.919,0.094,0.088,0.144
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.027,0.479,0.687,0.462
"P30","En blanco",0.041,0.236,0.182,0.092
"P30","No sabe",0.013,0.191,0.043,0.302
"P38","Inflación",0.396,0.295,0.382,0.247
"P38","Desempleo",0.113,0.052,0.068,0.065
"P38","Corrupción",0.106,0.462,0.407,0.368
"P38","Inseguridad",0.15,0.11,0.087,0.187
"P38","Precio del dólar",0.053,0.021,0.008,0.019
"P38","Pobreza",0.08,0.015,0.018,0.019
"P38","Narcotráfico",0.019,0.001,0.009,0.019
"P38","Tarifas",0.005,0.003,0,0
"P38","Otro",0.062,0.033,0.021,0.046
"P38","No sabe",0.016,0.008,0,0.03
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.758,0.069,0.142,0.111
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.102,0.592,0.083,0.117
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.077,0.24,0.574,0.306
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.018,0.025,0.072,0.107
"GOBERNADOR","En blanco",0.035,0.054,0.091,0.13
"GOBERNADOR","No sabe",0.01,0.02,0.038,0.229
"CORTA_GOBERNADOR","Si",0.113,0.194,0.124,0.156
"CORTA_GOBERNADOR","No",0.887,0.806,0.876,0.844
"P10_imputada","Unión por la Patria",0.782,0.081,0.137,0.128
"P10_imputada","Juntos por el Cambio",0.094,0.616,0.1,0.126
"P10_imputada","De los liberales libertarios",0.076,0.248,0.586,0.413
"P10_imputada","De la Izquierda",0.022,0.017,0.078,0.115
"P10_imputada","Hacemos por nuestro país",0.009,0.024,0.012,0.033
"P10_imputada","Otro",0.01,0.011,0.01,0.152
"P10_imputada","En blanco",0.007,0.003,0.077,0.033
"P20_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.846,0.079,0.113,0.22
"P20_imputada","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.075,0.628,0.098,0.146
"P20_imputada","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.054,0.243,0.622,0.428
"P20_imputada","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.013,0.02,0.077,0.108
"P20_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.011,0.027,0.02,0.076
"P20_imputada","En blanco",0.001,0.003,0.07,0.022
"GOBERNADOR_imputada","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.765,0.071,0.147,0.142
"GOBERNADOR_imputada","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.103,0.603,0.086,0.15
"GOBERNADOR_imputada","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.078,0.246,0.585,0.393
"GOBERNADOR_imputada","Gobernador y vicegobernador de la izquierda",0.019,0.025,0.089,0.14
"GOBERNADOR_imputada","En blanco",0.035,0.055,0.093,0.175
