"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco","No sabe"
"P10","Unión por la Patria",0.753,0.119,0.121,0.143,0.096,0.085,0.112
"P10","Juntos por el Cambio",0.099,0.755,0.112,0.035,0.039,0.166,0.081
"P10","De los liberales libertarios",0.085,0.084,0.686,0.123,0.271,0.048,0.038
"P10","De la Izquierda",0.013,0.011,0.012,0.574,0.02,0,0.067
"P10","Hacemos por nuestro país",0.008,0.006,0.015,0,0.449,0,0.003
"P10","Otro",0.012,0.005,0.013,0.125,0.098,0.2,0.171
"P10","En blanco",0.013,0.007,0.007,0,0.005,0.459,0.072
"P10","No sabe",0.017,0.013,0.034,0,0.022,0.042,0.456
"P26","Totalmente seguro",0.815,0.766,0.783,0.473,0.516,0.57,0.09
"P26","Bastante seguro",0.081,0.112,0.08,0.075,0.193,0.19,0.166
"P26","Algo seguro",0.054,0.073,0.08,0.168,0.176,0.019,0.062
"P26","Para nada seguro",0.05,0.049,0.057,0.284,0.115,0.221,0.682
"P27","Tiene Decidido que va a ir a votar",0.944,0.932,0.961,0.886,0.79,0.561,0.648
"P27","Tiene dudas sobre si va a ir a  votar",0.048,0.044,0.032,0.066,0.197,0.2,0.289
"P27","Tiene Decidido que no va a ir a votar",0.008,0.024,0.007,0.048,0.013,0.239,0.063
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.896,0.136,0.125,0.204,0.235,0.055,0.123
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.051,0.798,0.4,0.229,0.387,0.105,0.178
"P28","En blanco",0.024,0.036,0.302,0.213,0.087,0.645,0.102
"P28","No sabe",0.029,0.03,0.173,0.354,0.291,0.195,0.597
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.23,0.796,0.133,0.239,0.327,0.094,0.165
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.066,0.144,0.77,0.169,0.248,0.263,0.066
"P29","En blanco",0.475,0.034,0.045,0.361,0.135,0.419,0.095
"P29","No sabe",0.229,0.026,0.052,0.231,0.29,0.224,0.674
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.896,0.18,0.098,0.357,0.295,0,0.093
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.041,0.285,0.844,0.218,0.304,0.35,0.195
"P30","En blanco",0.046,0.309,0.029,0.307,0.172,0.418,0.075
"P30","No sabe",0.017,0.226,0.029,0.118,0.229,0.232,0.637
"P38","Inflación",0.433,0.294,0.319,0.216,0.199,0.108,0.223
"P38","Desempleo",0.09,0.053,0.069,0.105,0.053,0.101,0.194
"P38","Corrupción",0.099,0.466,0.421,0.346,0.351,0.659,0.287
"P38","Inseguridad",0.15,0.109,0.143,0.057,0.122,0.022,0.219
"P38","Precio del dólar",0.06,0.011,0.001,0.006,0.192,0,0.009
"P38","Pobreza",0.069,0.018,0.023,0.056,0.039,0.11,0.005
"P38","Narcotráfico",0.02,0.001,0,0.015,0.037,0,0.037
"P38","Tarifas",0.005,0.004,0,0,0,0,0
"P38","Otro",0.058,0.031,0.021,0.199,0,0,0.026
"P38","No sabe",0.016,0.013,0.003,0,0.007,0,0
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.854,0.053,0.074,0,0,0,0
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.064,0.844,0.102,0,0,0,0
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.052,0.07,0.782,0,0,0,0
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.005,0.008,0.008,1,0,0,0
"GOBERNADOR","En blanco",0.025,0.025,0.034,0,1,1,0
"GOBERNADOR","No sabe",0,0,0,0,0,0,1
"CORTA_GOBERNADOR","Si",0.191,0.203,0.27,0,0,0,0
"CORTA_GOBERNADOR","No",0.809,0.797,0.73,1,1,1,1
