"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.255,0.119,0.807,0.538
"P10","Juntos por el Cambio",0.569,0.156,0.049,0.077
"P10","De los liberales libertarios",0.106,0.655,0.035,0.096
"P10","De la Izquierda",0.024,0.024,0.046,0.046
"P10","Hacemos por nuestro país",0.021,0.006,0.01,0.025
"P10","Otro",0.012,0.008,0.017,0.067
"P10","En blanco",0.002,0.001,0.029,0.025
"P10","No sabe",0.011,0.031,0.007,0.126
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.284,0.123,0.841,0.639
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.58,0.158,0.036,0.043
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.075,0.652,0.036,0.065
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.02,0.021,0.043,0.044
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.022,0.025,0.013,0.043
"P20","En blanco",0.003,0.011,0.017,0.014
"P20","No sabe",0.016,0.01,0.014,0.152
"P26","Totalmente seguro",0.755,0.768,0.846,0.574
"P26","Bastante seguro",0.104,0.099,0.046,0.124
"P26","Algo seguro",0.08,0.078,0.05,0.08
"P26","Para nada seguro",0.061,0.055,0.058,0.222
"P27","Tiene Decidido que va a ir a votar",0.93,0.892,0.968,0.866
"P27","Tiene dudas sobre si va a ir a  votar",0.048,0.086,0.023,0.118
"P27","Tiene Decidido que no va a ir a votar",0.022,0.022,0.009,0.016
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.363,0.078,0.855,0.652
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.586,0.5,0.007,0.045
"P28","En blanco",0.023,0.262,0.115,0.026
"P28","No sabe",0.028,0.16,0.023,0.277
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.442,0.071,0.821,0.682
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.189,0.828,0.032,0.077
"P30","En blanco",0.205,0.055,0.14,0.036
"P30","No sabe",0.164,0.046,0.007,0.205
"P38","Inflación",0.308,0.35,0.396,0.35
"P38","Desempleo",0.071,0.052,0.093,0.139
"P38","Corrupción",0.373,0.402,0.142,0.126
"P38","Inseguridad",0.129,0.138,0.109,0.176
"P38","Precio del dólar",0.025,0.032,0.048,0.034
"P38","Pobreza",0.042,0.006,0.081,0.061
"P38","Narcotráfico",0.005,0.005,0.028,0.011
"P38","Tarifas",0.001,0.003,0.004,0.006
"P38","Otro",0.036,0.011,0.093,0.048
"P38","No sabe",0.01,0.001,0.006,0.049
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.241,0.128,0.785,0.569
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.562,0.18,0.057,0.079
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.118,0.597,0.038,0.06
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.024,0.027,0.055,0.044
"GOBERNADOR","En blanco",0.039,0.058,0.051,0.096
"GOBERNADOR","No sabe",0.016,0.01,0.014,0.152
"CORTA_GOBERNADOR","Si",0.14,0.23,0.095,0.111
"CORTA_GOBERNADOR","No",0.86,0.77,0.905,0.889
"P10_imputada","Unión por la Patria",0.256,0.127,0.812,0.584
"P10_imputada","Juntos por el Cambio",0.572,0.168,0.051,0.117
"P10_imputada","De los liberales libertarios",0.108,0.663,0.035,0.105
"P10_imputada","De la Izquierda",0.025,0.024,0.046,0.054
"P10_imputada","Hacemos por nuestro país",0.025,0.006,0.01,0.025
"P10_imputada","Otro",0.012,0.008,0.017,0.079
"P10_imputada","En blanco",0.002,0.004,0.029,0.036
"P20_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.291,0.125,0.845,0.707
"P20_imputada","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.59,0.159,0.04,0.073
"P20_imputada","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.074,0.659,0.04,0.107
"P20_imputada","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.02,0.021,0.045,0.051
"P20_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.022,0.025,0.013,0.048
"P20_imputada","En blanco",0.003,0.011,0.017,0.014
"GOBERNADOR_imputada","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.245,0.131,0.798,0.663
"GOBERNADOR_imputada","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.572,0.182,0.056,0.092
"GOBERNADOR_imputada","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.118,0.601,0.038,0.071
"GOBERNADOR_imputada","Gobernador y vicegobernador de la izquierda",0.025,0.027,0.056,0.058
"GOBERNADOR_imputada","En blanco",0.04,0.059,0.052,0.116
