"var","categoria","A Gustavo Menéndez","A Karina Menéndez","A Florencia Lizaraso","No sabe"
"P14","El arreglo de las calles",0.288,0.405,0.122,0.198
"P14","El estado de las escuelas y la educación",0.076,0.058,0.07,0.082
"P14","El sistema de salud",0.063,0.121,0.045,0.162
"P14","El deporte y la cultura",0.16,0.203,0.244,0.058
"P14","La obra pública",0.07,0.051,0.142,0.202
"P14","La luminaria",0.042,0.048,0.058,0.004
"P14","No sabe",0.162,0.089,0.257,0.26
"P15","La seguridad",0.466,0.528,0.413,0.558
"P15","El tránsito",0.064,0.032,0.034,0.019
"P15","El arreglo de las calles",0.128,0.243,0.329,0.209
"P15","El estado de las escuelas y la educación",0.029,0.04,0.069,0.011
"P15","El sistema de salud",0.162,0.071,0.098,0.168
"P15","El deporte y la cultura",0.04,0.005,0,0
"P15","La obra pública",0.008,0.007,0.035,0.004
"P15","La luminaria",0.012,0.03,0,0.008
"P15","No sabe",0.091,0.044,0.022,0.023
"P16","Agua corriente y cloacas",0.506,0.669,0.342,0.587
"P16","Energía eléctrica",0.053,0.073,0.016,0.081
"P16","Red de gas natural",0.103,0.13,0.24,0.052
"P16","Recolección de residuos",0.182,0.025,0.252,0.109
"P16","Ninguno",0.156,0.103,0.15,0.171
"P17","Los robos",0.569,0.676,0.563,0.753
"P17","El narcotráfico",0.178,0.09,0.239,0.079
"P17","La ausencia de patrulleros y personal policial",0.158,0.171,0.189,0.143
"P17","Otro",0.056,0.044,0.009,0.025
"P17","Ninguno",0.039,0.019,0,0
"P18","Muy buena",0.233,0.077,0.028,0.027
"P18","Buena",0.207,0.192,0.007,0.111
"P18","Ni buena ni mala",0.342,0.522,0.402,0.705
"P18","Mala",0.094,0.165,0.393,0.092
"P18","Muy mala",0.035,0.009,0.11,0.061
"P18","No sabe",0.089,0.035,0.06,0.004
"P19","Muy buena",0.222,0.062,0.153,0.084
"P19","Buena",0.199,0.188,0.086,0.141
"P19","Ni buena ni mala",0.385,0.611,0.435,0.323
"P19","Mala",0.07,0.111,0.148,0.334
"P19","Muy mala",0.023,0.005,0.178,0.027
"P19","No sabe",0.101,0.023,0,0.091
"P22","Frente de Todos y el peronismo",0.808,0.898,0.95,0.664
"P22","Cambiemos",0.15,0.09,0,0.228
"P22","Liberales",0.014,0,0.034,0.054
"P22","Izquierda",0,0.007,0,0.042
"P22","No sabe",0.028,0.005,0.016,0.012
"P24","A Alberto Fernández",0.519,0.226,0.056,0.302
