"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A"
"A Horacio Rodriguez Larreta",0.511,0.489,0.528,0.592,0.629,0.33,0.277,0.436,0.614,0.433,0.404,0.469,0.708,0.309,0.738,0.535
"A Mauricio Macri",0.189,0.189,0.188,0.175,0.22,0.156,0.178,0.202,0.186,0.166,0.218,0.095,0.213,0.478,0.112,0.196
"A Patricia Bullrich",0.189,0.239,0.149,0.119,0.105,0.284,0.449,0.238,0.152,0.169,0.165,0.311,0.079,0.207,0.069,0.102
"A Facundo Manes",0.063,0.053,0.072,0.028,0.034,0.144,0.088,0.097,0.03,0.066,0.19,0.026,0,0.006,0.01,0.159
"A Martín Lousteau",0.048,0.03,0.063,0.086,0.012,0.086,0.008,0.027,0.018,0.166,0.023,0.099,0,0,0.071,0.008
