"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A"
"Al candidato del Frente de Todos",0.278,0.294,0.262,0.183,0.29,0.32,0.346,0.314,0.253,0.256,0.222,0.276,0.268,0.223,0.354,0.356
"Al candidato de Juntos por el Cambio",0.231,0.243,0.219,0.311,0.174,0.24,0.248,0.201,0.259,0.236,0.318,0.242,0.232,0.149,0.239,0.18
"Al candidato de la Izquierda",0.105,0.094,0.116,0.147,0.096,0.088,0.082,0.104,0.101,0.118,0.095,0.102,0.088,0.175,0.108,0.064
"A otro candidato",0.21,0.253,0.167,0.205,0.261,0.182,0.109,0.183,0.227,0.23,0.216,0.19,0.169,0.238,0.195,0.262
"No sabe",0.176,0.116,0.236,0.154,0.179,0.17,0.215,0.198,0.16,0.16,0.149,0.19,0.243,0.215,0.104,0.138
