"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P06","Muy buena",0.196,0.111,0.082,0.145
"P06","Buena",0.23,0.2,0.035,0.151
"P06","Ni buena ni mala",0.268,0.293,0.284,0.263
"P06","Mala",0.111,0.181,0.185,0.273
"P06","Muy mala",0.126,0.198,0.414,0.156
"P06","No sabe",0.069,0.017,0,0.012
"P07","Muy buena",0.089,0.075,0.176,0.021
"P07","Buena",0.017,0.061,0.018,0.031
"P07","Ni buena ni mala",0.324,0.632,0.273,0.46
"P07","Mala",0.075,0.111,0.083,0.199
"P07","Muy mala",0.149,0.048,0.265,0.192
"P07","No sabe",0.346,0.073,0.185,0.097
"P08","Muy buena",0.19,0.085,0.065,0.107
"P08","Buena",0.163,0.059,0.079,0.152
"P08","Ni buena ni mala",0.354,0.514,0.221,0.38
"P08","Mala",0.1,0.064,0.034,0.157
"P08","Muy mala",0.094,0.226,0.496,0.182
"P08","No sabe",0.099,0.052,0.105,0.022
"P09","Muy buena",0.082,0.028,0.21,0.002
"P09","Buena",0.025,0.076,0.154,0.015
"P09","Ni buena ni mala",0.271,0.617,0.327,0.392
"P09","Mala",0.164,0.091,0.036,0.301
"P09","Muy mala",0.133,0.114,0.095,0.211
"P09","No sabe",0.325,0.074,0.178,0.079
"P10","Muy buena",0.296,0.119,0.267,0.095
"P10","Buena",0.128,0.094,0.104,0.139
"P10","Ni buena ni mala",0.208,0.332,0.144,0.145
"P10","Mala",0.141,0.293,0.127,0.175
"P10","Muy mala",0.131,0.157,0.295,0.418
"P10","No sabe",0.096,0.005,0.063,0.028
"P11","Muy buena",0.072,0.016,0.252,0.002
"P11","Buena",0.028,0.042,0.136,0.03
"P11","Ni buena ni mala",0.362,0.587,0.217,0.456
"P11","Mala",0.091,0.133,0.026,0.095
"P11","Muy mala",0.144,0.124,0.037,0.182
"P11","No sabe",0.303,0.098,0.332,0.235
"P12","Muy buena",0.085,0.017,0,0.057
"P12","Buena",0.058,0.079,0.03,0.153
"P12","Ni buena ni mala",0.342,0.645,0.411,0.434
"P12","Mala",0.092,0.114,0.096,0.068
"P12","Muy mala",0.144,0.036,0.148,0.051
"P12","No sabe",0.279,0.109,0.315,0.237
"P13","Muy buena",0.081,0.023,0,0.002
"P13","Buena",0.086,0.019,0.009,0.006
"P13","Ni buena ni mala",0.271,0.723,0.402,0.522
"P13","Mala",0.052,0.01,0.081,0.052
"P13","Muy mala",0.14,0.083,0.148,0.054
"P13","No sabe",0.37,0.142,0.36,0.364
"P14","La seguridad",0.099,0.123,0,0.008
"P14","El tránsito",0.03,0.095,0.004,0.005
"P14","El arreglo de las calles",0.31,0.181,0.202,0.24
"P14","El estado de las escuelas y la educación",0.062,0.043,0.118,0.039
"P14","El sistema de salud",0.043,0.086,0.036,0.045
"P14","El deporte y la cultura",0.08,0.071,0.082,0.246
"P14","La obra pública",0.058,0.053,0.026,0.086
"P14","La luminaria",0.018,0.055,0.087,0.029
"P14","No sabe",0.3,0.293,0.445,0.302
"P15","La seguridad",0.385,0.493,0.477,0.363
"P15","El tránsito",0.049,0.043,0.088,0.018
"P15","El arreglo de las calles",0.158,0.173,0.15,0.171
"P15","El estado de las escuelas y la educación",0.139,0.023,0.122,0.114
"P15","El sistema de salud",0.133,0.211,0.02,0.137
"P15","El deporte y la cultura",0.036,0.009,0.034,0.002
"P15","La obra pública",0.01,0,0,0.03
"P15","La luminaria",0.004,0.034,0,0.009
"P15","No sabe",0.086,0.014,0.109,0.156
"P16","Agua corriente y cloacas",0.429,0.338,0.601,0.392
"P16","Energía eléctrica",0.127,0.068,0.178,0.099
"P16","Red de gas natural",0.278,0.129,0.021,0.231
"P16","Recolección de residuos",0.098,0.176,0.056,0.159
"P16","Ninguno",0.068,0.289,0.144,0.119
"P17","Los robos",0.632,0.458,0.545,0.457
"P17","El narcotráfico",0.157,0.103,0.156,0.249
"P17","La ausencia de patrulleros y personal policial",0.184,0.311,0.166,0.213
"P17","Otro",0.019,0.015,0.127,0.067
"P17","Ninguno",0.008,0.113,0.006,0.014
"P18","Muy buena",0.12,0.043,0.037,0.061
"P18","Buena",0.108,0.176,0.16,0.104
"P18","Ni buena ni mala",0.428,0.353,0.303,0.373
"P18","Mala",0.209,0.108,0.372,0.271
"P18","Muy mala",0.054,0.314,0.015,0.131
"P18","No sabe",0.081,0.006,0.113,0.06
"P19","Muy buena",0.124,0.056,0.008,0.105
"P19","Buena",0.146,0.119,0.104,0.18
"P19","Ni buena ni mala",0.366,0.39,0.504,0.342
"P19","Mala",0.098,0.091,0.084,0.18
"P19","Muy mala",0.061,0.344,0.126,0.16
"P19","No sabe",0.205,0,0.174,0.033
"P20","Al candidato del Frente de Todos",0.506,0.396,0.272,0.704
"P20","Al candidato de Juntos por el Cambio",0.079,0.302,0.521,0.024
"P20","Al candidato de la Izquierda",0.057,0.162,0,0.139
"P20","A otro candidato",0.143,0.129,0.124,0.071
"P20","No sabe",0.215,0.011,0.083,0.062
"P21","A Gustavo Menéndez",0.711,0.366,0.596,0.301
"P21","A Karina Menéndez",0.135,0.153,0.275,0.285
"P21","A Florencia Lizaraso",0.025,0.254,0.033,0.26
"P21","No sabe",0.129,0.227,0.096,0.154
"P25","Seguro la votaria",0.729,0.649,0.243,0.967
"P25","Quizás la votaría",0.152,0.226,0.152,0.019
"P25","Nunca la votaría",0.119,0.125,0.605,0.014
"P28","Muy buena",0.495,0.079,0.011,0.039
"P28","Buena",0.242,0.338,0.189,0.235
"P28","Ni buena ni mala",0.201,0.311,0.213,0.391
"P28","Mala",0.021,0.063,0.053,0.263
"P28","Muy mala",0.041,0.113,0.534,0.072
"P28","No sabe",0,0.096,0,0
"P29","Muy buena",0.101,0.133,0.364,0.007
"P29","Buena",0,0.023,0.02,0.022
"P29","Ni buena ni mala",0.026,0.021,0.144,0.026
"P29","Mala",0.225,0.379,0.164,0.197
"P29","Muy mala",0.648,0.44,0.249,0.739
"P29","No sabe",0,0.004,0.059,0.009
"P30","Muy buena",0.684,0.463,0.236,0.827
"P30","Buena",0.095,0.118,0.127,0.114
"P30","Ni buena ni mala",0.155,0.174,0.036,0.007
"P30","Mala",0.022,0.02,0.045,0.005
"P30","Muy mala",0.044,0.129,0.556,0.047
"P30","No sabe",0,0.096,0,0
"P31","Muy buena",0.2,0.146,0.337,0.074
"P31","Buena",0.015,0.031,0.107,0.017
"P31","Ni buena ni mala",0.177,0.176,0.24,0.104
"P31","Mala",0.187,0.313,0.036,0.172
"P31","Muy mala",0.332,0.176,0.222,0.615
"P31","No sabe",0.089,0.158,0.058,0.018
"P32","Muy buena",0.163,0.232,0.114,0.045
"P32","Buena",0.342,0.27,0.071,0.268
"P32","Ni buena ni mala",0.268,0.269,0.17,0.345
"P32","Mala",0.02,0.109,0.11,0.269
"P32","Muy mala",0.105,0.025,0.503,0.058
"P32","No sabe",0.102,0.095,0.032,0.015
"P33","Muy buena",0.079,0.022,0.4,0.105
"P33","Buena",0,0.11,0.021,0.026
"P33","Ni buena ni mala",0.089,0.318,0.106,0.005
"P33","Mala",0.285,0.222,0.184,0.169
"P33","Muy mala",0.531,0.322,0.231,0.686
"P33","No sabe",0.016,0.006,0.058,0.009
"P34","Muy buena",0.095,0.123,0.027,0
"P34","Buena",0.035,0.021,0.105,0.014
"P34","Ni buena ni mala",0.097,0.274,0.238,0.081
"P34","Mala",0.142,0.238,0.173,0.179
"P34","Muy mala",0.48,0.344,0.369,0.689
"P34","No sabe",0.151,0,0.088,0.037
