"var","categoria","La seguridad","El tránsito","El arreglo de las calles","El estado de las escuelas y la educación","El sistema de salud","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P06","Muy buena",0.143,0.223,0.082,0.054,0.118,0.009,0.073,0.012,0.097
"P06","Buena",0.129,0.158,0.099,0.139,0.208,0.162,0.028,0.297,0.063
"P06","Ni buena ni mala",0.203,0.231,0.338,0.352,0.237,0.167,0.188,0.078,0.134
"P06","Mala",0.202,0.175,0.242,0.147,0.175,0.122,0.294,0.145,0.195
"P06","Muy mala",0.303,0.178,0.225,0.214,0.25,0.523,0.396,0.312,0.49
"P06","No sabe",0.02,0.035,0.014,0.094,0.012,0.017,0.021,0.156,0.021
"P07","Muy buena",0.158,0.095,0.073,0.014,0.055,0.035,0.064,0.021,0.039
"P07","Buena",0.125,0.106,0.165,0.101,0.083,0.007,0.117,0.074,0.086
"P07","Ni buena ni mala",0.386,0.397,0.359,0.399,0.448,0.313,0.402,0.276,0.275
"P07","Mala",0.108,0.151,0.133,0.156,0.047,0.242,0.103,0.079,0.114
"P07","Muy mala",0.122,0.087,0.123,0.056,0.189,0.281,0.126,0.097,0.352
"P07","No sabe",0.101,0.164,0.147,0.274,0.178,0.122,0.188,0.453,0.134
"P08","Muy buena",0.089,0.193,0.08,0.026,0.123,0.018,0.009,0.012,0.062
"P08","Buena",0.123,0.069,0.195,0.076,0.106,0.06,0.123,0.069,0.107
"P08","Ni buena ni mala",0.259,0.405,0.381,0.308,0.319,0.244,0.276,0.208,0.201
"P08","Mala",0.169,0.102,0.093,0.245,0.204,0.281,0.252,0.135,0.189
"P08","Muy mala",0.315,0.135,0.191,0.154,0.191,0.38,0.233,0.288,0.333
"P08","No sabe",0.045,0.096,0.06,0.191,0.057,0.017,0.107,0.288,0.108
"P09","Muy buena",0.07,0.082,0.068,0.06,0.045,0.035,0.009,0,0.071
"P09","Buena",0.102,0.184,0.096,0.017,0.098,0.007,0.075,0.098,0.09
"P09","Ni buena ni mala",0.403,0.405,0.432,0.303,0.394,0.235,0.464,0.185,0.287
"P09","Mala",0.144,0.15,0.13,0.205,0.066,0.15,0.034,0.21,0.145
"P09","Muy mala",0.168,0.087,0.075,0.135,0.202,0.226,0.165,0.147,0.238
"P09","No sabe",0.113,0.092,0.199,0.28,0.195,0.347,0.253,0.36,0.169
"P10","Muy buena",0.108,0.078,0.119,0.007,0.072,0.126,0.021,0,0.087
"P10","Buena",0.116,0.074,0.136,0.083,0.097,0.163,0.044,0.041,0.083
"P10","Ni buena ni mala",0.215,0.221,0.249,0.243,0.325,0.067,0.381,0.127,0.234
"P10","Mala",0.204,0.346,0.219,0.268,0.288,0.219,0.219,0.203,0.121
"P10","Muy mala",0.316,0.233,0.24,0.175,0.18,0.408,0.152,0.427,0.376
"P10","No sabe",0.041,0.048,0.037,0.224,0.038,0.017,0.183,0.202,0.099
"P11","Muy buena",0.119,0.1,0.077,0.039,0.013,0.03,0.023,0,0.066
"P11","Buena",0.078,0.136,0.101,0.035,0.073,0,0.091,0.142,0.069
"P11","Ni buena ni mala",0.352,0.51,0.41,0.218,0.495,0.209,0.444,0.165,0.292
"P11","Mala",0.078,0.081,0.091,0.186,0.085,0.157,0,0.062,0.124
"P11","Muy mala",0.128,0.068,0.061,0.074,0.114,0.278,0.098,0.235,0.194
"P11","No sabe",0.245,0.105,0.26,0.448,0.22,0.326,0.344,0.396,0.255
"P12","Muy buena",0.044,0.009,0.07,0.046,0.008,0.042,0.008,0,0.015
"P12","Buena",0.066,0.094,0.089,0.007,0.034,0.019,0.106,0.068,0.011
"P12","Ni buena ni mala",0.432,0.494,0.381,0.248,0.474,0.183,0.359,0.372,0.263
"P12","Mala",0.075,0.105,0.036,0.191,0.107,0.131,0,0.026,0.167
"P12","Muy mala",0.111,0.028,0.051,0.085,0.086,0.087,0.045,0.128,0.276
"P12","No sabe",0.272,0.27,0.373,0.423,0.291,0.538,0.482,0.406,0.268
"P13","Muy buena",0.046,0.009,0.033,0,0.004,0,0.106,0,0.012
"P13","Buena",0.021,0.076,0.039,0.016,0.02,0.029,0,0.036,0.016
"P13","Ni buena ni mala",0.419,0.43,0.441,0.216,0.446,0.192,0.324,0.343,0.278
"P13","Mala",0.045,0.129,0.047,0.184,0.042,0.122,0,0.015,0.15
"P13","Muy mala",0.107,0,0.046,0.091,0.069,0.065,0.034,0.046,0.213
"P13","No sabe",0.362,0.356,0.394,0.493,0.419,0.592,0.536,0.56,0.331
"P14","La seguridad",0.086,0.045,0.037,0,0.071,0.026,0,0,0
"P14","El tránsito",0.013,0.273,0.037,0,0.071,0.009,0,0,0
"P14","El arreglo de las calles",0.178,0.159,0.245,0.205,0.208,0.156,0.188,0.046,0.056
"P14","El estado de las escuelas y la educación",0.027,0.029,0.094,0.18,0.068,0,0.017,0,0.005
"P14","El sistema de salud",0.058,0.163,0.069,0.12,0.115,0.127,0.034,0.012,0.012
"P14","El deporte y la cultura",0.18,0.14,0.131,0.171,0.214,0.633,0.238,0.011,0.028
"P14","La obra pública",0.027,0.061,0.033,0,0.036,0.032,0.258,0.095,0.026
"P14","La luminaria",0.054,0.037,0.071,0.035,0.033,0,0.028,0.39,0.058
"P14","No sabe",0.377,0.093,0.283,0.289,0.184,0.017,0.237,0.446,0.815
"P16","Agua corriente y cloacas",0.548,0.432,0.44,0.36,0.397,0.346,0.535,0.691,0.341
"P16","Energía eléctrica",0.124,0.155,0.061,0.13,0.057,0.223,0,0,0.151
"P16","Red de gas natural",0.086,0.194,0.209,0.177,0.111,0.104,0.198,0.091,0.238
"P16","Recolección de residuos",0.119,0.072,0.186,0.314,0.121,0.181,0.179,0.1,0.094
"P16","Ninguno",0.123,0.147,0.104,0.019,0.314,0.146,0.088,0.118,0.176
"P17","Los robos",0.629,0.563,0.485,0.408,0.483,0.415,0.438,0.495,0.36
"P17","El narcotráfico",0.098,0.116,0.126,0.135,0.146,0.178,0.134,0.086,0.233
"P17","La ausencia de patrulleros y personal policial",0.195,0.19,0.254,0.304,0.308,0.258,0.178,0.32,0.209
"P17","Otro",0.07,0.131,0.082,0.145,0.033,0.049,0.25,0.099,0.113
"P17","Ninguno",0.008,0,0.053,0.008,0.03,0.1,0,0,0.085
"P18","Muy buena",0.069,0.085,0.143,0.123,0.084,0.06,0.096,0.016,0.091
"P18","Buena",0.109,0.03,0.09,0.089,0.201,0.107,0.057,0.219,0.052
"P18","Ni buena ni mala",0.338,0.523,0.303,0.284,0.309,0.278,0.447,0.063,0.218
"P18","Mala",0.222,0.212,0.23,0.308,0.184,0.283,0.36,0.552,0.216
"P18","Muy mala",0.228,0.079,0.182,0.148,0.074,0.009,0.04,0.136,0.322
"P18","No sabe",0.034,0.071,0.052,0.048,0.148,0.263,0,0.014,0.101
"P19","Muy buena",0.054,0.012,0.062,0.105,0.037,0.091,0.056,0.01,0.065
"P19","Buena",0.089,0.257,0.137,0.029,0.178,0.098,0.026,0.258,0.037
"P19","Ni buena ni mala",0.357,0.285,0.354,0.269,0.409,0.174,0.59,0.296,0.205
"P19","Mala",0.194,0.171,0.187,0.224,0.192,0.384,0.142,0.359,0.209
"P19","Muy mala",0.262,0.061,0.148,0.153,0.134,0.009,0.096,0.054,0.39
"P19","No sabe",0.044,0.214,0.112,0.22,0.05,0.244,0.09,0.023,0.094
"P20","Al candidato del Frente de Todos",0.266,0.437,0.344,0.224,0.402,0.158,0.196,0.191,0.176
"P20","Al candidato de Juntos por el Cambio",0.282,0.266,0.182,0.154,0.267,0.008,0.341,0.194,0.131
"P20","Al candidato de la Izquierda",0.107,0.147,0.101,0.059,0.071,0.339,0.104,0.112,0.083
"P20","A otro candidato",0.189,0.033,0.191,0.347,0.161,0.31,0.157,0.428,0.286
"P20","No sabe",0.156,0.117,0.182,0.216,0.099,0.185,0.202,0.075,0.324
"P21","A Gustavo Menéndez",0.457,0.686,0.322,0.435,0.562,0.955,0.355,0.452,0.735
"P21","A Karina Menéndez",0.201,0.134,0.236,0.23,0.096,0.045,0.134,0.417,0.139
"P21","A Florencia Lizaraso",0.105,0.094,0.214,0.264,0.088,0,0.423,0,0.045
"P21","No sabe",0.237,0.086,0.228,0.071,0.254,0,0.088,0.131,0.081
"P22","Frente de Todos y el peronismo",0.312,0.445,0.458,0.401,0.559,0.383,0.389,0.328,0.286
"P22","Cambiemos",0.277,0.205,0.206,0.109,0.216,0.009,0.267,0.213,0.189
"P22","Liberales",0.181,0.13,0.116,0.103,0.06,0.261,0.134,0.251,0.041
"P22","Izquierda",0.077,0.044,0.055,0.275,0.057,0.222,0.096,0.084,0.18
"P22","No sabe",0.153,0.176,0.165,0.112,0.108,0.125,0.114,0.124,0.304
"P24","A Alberto Fernández",0.283,0.333,0.295,0.411,0.311,0.557,0.244,0.113,0.275
"P24","A Sergio Massa",0.25,0.201,0.223,0.047,0.343,0.101,0,0.636,0.03
"P24","A algún candidato del peronismo",0.202,0.346,0.163,0.208,0.027,0.306,0,0,0.202
"P24","A algún candidato del kirchnerismo",0.265,0.12,0.319,0.334,0.319,0.036,0.756,0.251,0.493
"P25","Seguro la votaria",0.628,0.461,0.783,0.812,0.717,0.654,1,0.659,0.776
"P25","Quizás la votaría",0.116,0.202,0.132,0.013,0.246,0.346,0,0.266,0.059
"P25","Nunca la votaría",0.256,0.337,0.085,0.175,0.037,0,0,0.075,0.165
"P26","A Horacio Rodriguez Larreta",0.626,0.435,0.467,0.647,0.469,1,0.277,0,0.089
"P26","A Mauricio Macri",0.151,0.028,0.063,0.14,0.082,0,0.3,0.091,0.804
"P26","A Patricia Bullrich",0.123,0.061,0.432,0.032,0.195,0,0.342,0.909,0.036
"P26","A Facundo Manes",0.051,0.476,0.033,0.086,0,0,0.029,0,0.071
"P26","A Martín Lousteau",0.049,0,0.005,0.095,0.254,0,0.052,0,0
"P27","Seguro lo votaria",0.412,0.03,0.094,0.565,0.463,0,0.342,0,0.012
"P27","Quizás lo votaría",0.166,0.136,0.146,0.03,0.062,1,0.474,0,0.165
"P27","Nunca lo votaría",0.422,0.834,0.76,0.405,0.475,0,0.184,1,0.823
"P28","Muy buena",0.112,0.179,0.1,0.094,0.111,0.091,0.103,0,0.028
"P28","Buena",0.139,0.317,0.168,0.044,0.166,0.257,0.123,0.145,0.214
"P28","Ni buena ni mala",0.197,0.105,0.274,0.139,0.266,0.347,0.279,0.221,0.208
"P28","Mala",0.174,0.193,0.189,0.34,0.163,0.04,0.144,0.158,0.095
"P28","Muy mala",0.375,0.206,0.269,0.365,0.221,0.265,0.351,0.476,0.431
"P28","No sabe",0.003,0,0,0.018,0.073,0,0,0,0.024
"P29","Muy buena",0.134,0.144,0.047,0.107,0.041,0.009,0.087,0.197,0.124
"P29","Buena",0.091,0.161,0.168,0.116,0.069,0.044,0.152,0.014,0.161
"P29","Ni buena ni mala",0.19,0.147,0.11,0.107,0.086,0.023,0.432,0.014,0.169
"P29","Mala",0.159,0.177,0.351,0.27,0.208,0.062,0.056,0.151,0.137
"P29","Muy mala",0.417,0.356,0.299,0.392,0.596,0.862,0.273,0.603,0.367
"P29","No sabe",0.009,0.015,0.025,0.008,0,0,0,0.021,0.042
"P30","Muy buena",0.294,0.313,0.404,0.27,0.401,0.207,0.413,0.223,0.235
"P30","Buena",0.036,0.11,0.092,0.037,0.087,0.214,0.093,0.072,0.099
"P30","Ni buena ni mala",0.15,0.207,0.113,0.042,0.086,0.084,0.096,0.06,0.157
"P30","Mala",0.054,0.153,0.094,0.239,0.058,0.207,0.034,0.111,0.041
"P30","Muy mala",0.449,0.217,0.297,0.395,0.292,0.288,0.364,0.534,0.449
"P30","No sabe",0.017,0,0,0.017,0.076,0,0,0,0.019
"P31","Muy buena",0.199,0.186,0.159,0.178,0.163,0.059,0.106,0,0.146
"P31","Buena",0.116,0.141,0.152,0.131,0.055,0.153,0.245,0.192,0.135
"P31","Ni buena ni mala",0.216,0.307,0.268,0.177,0.263,0.246,0,0.355,0.189
"P31","Mala",0.134,0.263,0.138,0.24,0.097,0.062,0.443,0.149,0.098
"P31","Muy mala",0.312,0.088,0.227,0.233,0.281,0.446,0.206,0.304,0.313
"P31","No sabe",0.023,0.015,0.056,0.041,0.141,0.034,0,0,0.119
