"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","opciones"
"Muy buena",0.102,0.108,0.097,0.14,0.07,0.101,0.132,0.123,0.088,0.092,0.109,0.091,0.11,0.056,0.158,0.121,6
"Buena",0.125,0.124,0.126,0.129,0.108,0.148,0.133,0.12,0.132,0.119,0.126,0.104,0.138,0.098,0.139,0.179,6
"Ni buena ni mala",0.375,0.347,0.403,0.36,0.405,0.357,0.34,0.343,0.418,0.336,0.404,0.397,0.327,0.325,0.357,0.377,6
"Mala",0.11,0.132,0.087,0.077,0.128,0.119,0.102,0.114,0.096,0.136,0.091,0.118,0.073,0.112,0.1,0.141,6
"Muy mala",0.14,0.168,0.111,0.167,0.162,0.093,0.099,0.152,0.109,0.194,0.125,0.159,0.159,0.184,0.133,0.069,6
"No sabe",0.148,0.121,0.176,0.127,0.127,0.182,0.194,0.148,0.157,0.123,0.145,0.131,0.193,0.225,0.113,0.113,6
"Positiva",0.227,0.232,0.223,0.269,0.178,0.249,0.265,0.243,0.22,0.211,0.235,0.195,0.248,0.154,0.297,0.3,4
"Neutra",0.375,0.347,0.403,0.36,0.405,0.357,0.34,0.343,0.418,0.336,0.404,0.397,0.327,0.325,0.357,0.377,4
"Negativa",0.25,0.3,0.198,0.244,0.29,0.212,0.201,0.266,0.205,0.33,0.216,0.277,0.232,0.296,0.233,0.21,4
"No sabe",0.148,0.121,0.176,0.127,0.127,0.182,0.194,0.148,0.157,0.123,0.145,0.131,0.193,0.225,0.113,0.113,4
