"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","opciones"
"Muy buena",0.057,0.061,0.052,0.081,0.042,0.069,0.041,0.057,0.063,0.041,0.057,0.025,0.017,0.047,0.069,0.159,6
"Buena",0.103,0.104,0.102,0.043,0.128,0.126,0.095,0.101,0.093,0.133,0.095,0.109,0.162,0.081,0.077,0.1,6
"Ni buena ni mala",0.336,0.336,0.337,0.277,0.33,0.341,0.457,0.357,0.328,0.31,0.298,0.347,0.316,0.349,0.486,0.256,6
"Mala",0.203,0.201,0.205,0.126,0.208,0.248,0.253,0.213,0.184,0.227,0.275,0.213,0.106,0.228,0.145,0.172,6
"Muy mala",0.217,0.228,0.206,0.333,0.229,0.153,0.075,0.186,0.241,0.229,0.207,0.219,0.213,0.203,0.126,0.304,6
"No sabe",0.084,0.07,0.098,0.14,0.063,0.063,0.079,0.086,0.091,0.06,0.068,0.087,0.186,0.092,0.097,0.009,6
"Positiva",0.16,0.165,0.154,0.124,0.17,0.195,0.136,0.158,0.156,0.174,0.152,0.134,0.179,0.128,0.146,0.259,4
"Neutra",0.336,0.336,0.337,0.277,0.33,0.341,0.457,0.357,0.328,0.31,0.298,0.347,0.316,0.349,0.486,0.256,4
"Negativa",0.42,0.429,0.411,0.459,0.437,0.401,0.328,0.399,0.425,0.456,0.482,0.432,0.319,0.431,0.271,0.476,4
"No sabe",0.084,0.07,0.098,0.14,0.063,0.063,0.079,0.086,0.091,0.06,0.068,0.087,0.186,0.092,0.097,0.009,4
