"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.672,0.057,0.147,0.107
"P10","Juntos por el Cambio",0.167,0.243,0.564,0.532
"P10","De los liberales libertarios",0.058,0.593,0.103,0.083
"P10","De la Izquierda",0.032,0.019,0.046,0.034
"P10","Hacemos por nuestro país",0.021,0.021,0.05,0.044
"P10","Otro",0.016,0.028,0.022,0.072
"P10","En blanco",0.012,0.009,0.046,0.019
"P10","No sabe",0.022,0.03,0.022,0.109
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.738,0.044,0.213,0.111
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.132,0.197,0.541,0.513
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.05,0.677,0.054,0.062
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.027,0.017,0.052,0.04
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.033,0.038,0.071,0.087
"P13","En blanco",0.006,0.012,0.042,0.051
"P13","No sabe",0.014,0.015,0.027,0.136
"P26","Totalmente seguro",0.754,0.722,0.693,0.542
"P26","Bastante seguro",0.096,0.132,0.145,0.111
"P26","Algo seguro",0.084,0.097,0.086,0.154
"P26","Para nada seguro",0.066,0.049,0.076,0.193
"P27","Tiene Decidido que va a ir a votar",0.939,0.923,0.893,0.817
"P27","Tiene dudas sobre si va a ir a  votar",0.043,0.056,0.078,0.147
"P27","Tiene Decidido que no va a ir a votar",0.018,0.021,0.029,0.036
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.838,0.038,0.179,0.093
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.105,0.478,0.583,0.547
"P28","En blanco",0.021,0.304,0.165,0.053
"P28","No sabe",0.036,0.18,0.073,0.307
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.355,0.193,0.524,0.475
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.046,0.732,0.106,0.096
"P29","En blanco",0.376,0.039,0.341,0.039
"P29","No sabe",0.223,0.036,0.029,0.39
"P38","Inflación",0.378,0.322,0.261,0.255
"P38","Desempleo",0.107,0.064,0.061,0.08
"P38","Corrupción",0.146,0.458,0.453,0.39
"P38","Inseguridad",0.136,0.081,0.105,0.133
"P38","Precio del dólar",0.051,0.009,0.013,0.031
"P38","Pobreza",0.073,0.02,0.041,0.036
"P38","Narcotráfico",0.021,0.001,0.007,0.022
"P38","Tarifas",0.007,0.006,0.001,0.004
"P38","Otro",0.053,0.031,0.039,0.029
"P38","No sabe",0.028,0.008,0.019,0.02
"P10_imputada","Unión por la Patria",0.68,0.062,0.154,0.162
"P10_imputada","Juntos por el Cambio",0.177,0.25,0.572,0.567
"P10_imputada","De los liberales libertarios",0.059,0.606,0.11,0.089
"P10_imputada","De la Izquierda",0.033,0.019,0.046,0.034
"P10_imputada","Hacemos por nuestro país",0.023,0.021,0.05,0.048
"P10_imputada","Otro",0.016,0.033,0.022,0.08
"P10_imputada","En blanco",0.012,0.009,0.046,0.02
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.743,0.048,0.222,0.155
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.136,0.199,0.546,0.551
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.051,0.684,0.06,0.092
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.027,0.016,0.052,0.044
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.034,0.039,0.077,0.089
"P13_imputada","En blanco",0.009,0.014,0.043,0.069
