"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco"
"P26","Totalmente seguro",0.735,0.723,0.71,0.583,0.375,0.439
"P26","Bastante seguro",0.107,0.12,0.129,0.097,0.157,0.135
"P26","Algo seguro",0.08,0.083,0.096,0.151,0.192,0.074
"P26","Para nada seguro",0.078,0.074,0.065,0.169,0.276,0.352
"P27","Tiene Decidido que va a ir a votar",0.925,0.922,0.921,0.885,0.736,0.572
"P27","Tiene dudas sobre si va a ir a  votar",0.057,0.062,0.061,0.067,0.192,0.272
"P27","Tiene Decidido que no va a ir a votar",0.018,0.016,0.018,0.048,0.072,0.156
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.867,0.119,0.097,0.29,0.202,0.119
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.062,0.787,0.325,0.197,0.191,0.077
"P28","En blanco",0.029,0.027,0.349,0.201,0.282,0.381
"P28","No sabe",0.042,0.067,0.229,0.312,0.325,0.423
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.213,0.785,0.108,0.286,0.209,0.112
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.069,0.129,0.78,0.151,0.256,0.12
"P29","En blanco",0.452,0.031,0.063,0.336,0.25,0.417
"P29","No sabe",0.266,0.055,0.049,0.227,0.285,0.351
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.829,0.219,0.081,0.392,0.299,0.176
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.041,0.248,0.848,0.183,0.262,0.202
"P30","En blanco",0.085,0.302,0.033,0.26,0.234,0.281
"P30","No sabe",0.045,0.231,0.038,0.165,0.205,0.341
"P38","Inflación",0.384,0.289,0.322,0.219,0.25,0.292
"P38","Desempleo",0.113,0.05,0.07,0.063,0.11,0.116
"P38","Corrupción",0.133,0.459,0.439,0.379,0.355,0.267
"P38","Inseguridad",0.14,0.108,0.087,0.105,0.074,0.105
"P38","Precio del dólar",0.047,0.014,0.006,0.03,0.081,0.095
"P38","Pobreza",0.074,0.021,0.027,0.116,0.041,0.037
"P38","Narcotráfico",0.022,0.008,0.001,0.008,0.027,0
"P38","Tarifas",0.007,0.004,0.003,0.003,0.02,0.014
"P38","Otro",0.054,0.031,0.03,0.077,0.032,0.038
"P38","No sabe",0.026,0.016,0.015,0,0.01,0.036
