"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P10","Unión por la Patria",0.705,0.079,0.087,0.095
"P10","Juntos por el Cambio",0.132,0.631,0.077,0.106
"P10","De los liberales libertarios",0.07,0.224,0.612,0.37
"P10","De la Izquierda",0.028,0.012,0.053,0.072
"P10","Hacemos por nuestro país",0.014,0.022,0.061,0.049
"P10","Otro",0.015,0.017,0.028,0.1
"P10","En blanco",0.018,0.003,0.057,0.045
"P10","No sabe",0.018,0.012,0.025,0.163
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.805,0.066,0.073,0.079
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.073,0.623,0.049,0.09
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.061,0.247,0.66,0.428
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.02,0.016,0.038,0.067
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.023,0.028,0.1,0.11
"P13","En blanco",0.007,0.005,0.056,0.054
"P13","No sabe",0.011,0.015,0.024,0.172
"P26","Totalmente seguro",0.771,0.71,0.714,0.461
"P26","Bastante seguro",0.103,0.136,0.115,0.088
"P26","Algo seguro",0.072,0.099,0.072,0.19
"P26","Para nada seguro",0.054,0.055,0.099,0.261
"P27","Tiene Decidido que va a ir a votar",0.945,0.926,0.88,0.8
"P27","Tiene dudas sobre si va a ir a  votar",0.041,0.057,0.083,0.154
"P27","Tiene Decidido que no va a ir a votar",0.014,0.017,0.037,0.046
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.272,0.62,0.06,0.085
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.055,0.345,0.651,0.425
"P29","En blanco",0.436,0.015,0.252,0.091
"P29","No sabe",0.237,0.02,0.037,0.399
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.879,0.129,0.065,0.128
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.031,0.452,0.719,0.497
"P30","En blanco",0.065,0.245,0.174,0.089
"P30","No sabe",0.025,0.174,0.042,0.286
"P38","Inflación",0.378,0.293,0.336,0.27
"P38","Desempleo",0.109,0.056,0.083,0.078
"P38","Corrupción",0.146,0.463,0.414,0.362
"P38","Inseguridad",0.14,0.098,0.071,0.118
"P38","Precio del dólar",0.043,0.018,0.015,0.035
"P38","Pobreza",0.076,0.019,0.041,0.038
"P38","Narcotráfico",0.02,0.007,0.004,0.015
"P38","Tarifas",0.01,0.003,0.003,0.001
"P38","Otro",0.056,0.027,0.024,0.051
"P38","No sabe",0.022,0.016,0.009,0.032
"P10_imputada","Unión por la Patria",0.713,0.084,0.097,0.143
"P10_imputada","Juntos por el Cambio",0.139,0.635,0.082,0.163
"P10_imputada","De los liberales libertarios",0.072,0.227,0.617,0.402
"P10_imputada","De la Izquierda",0.028,0.012,0.053,0.074
"P10_imputada","Hacemos por nuestro país",0.014,0.022,0.061,0.06
"P10_imputada","Otro",0.015,0.017,0.034,0.112
"P10_imputada","En blanco",0.019,0.003,0.056,0.046
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.81,0.071,0.081,0.125
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.077,0.626,0.051,0.14
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.062,0.254,0.664,0.467
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.02,0.016,0.04,0.068
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.024,0.028,0.1,0.124
"P13_imputada","En blanco",0.007,0.005,0.064,0.076
