"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.226,0.098,0.658,0.499
"P10","Juntos por el Cambio",0.611,0.162,0.097,0.121
"P10","De los liberales libertarios",0.086,0.63,0.073,0.088
"P10","De la Izquierda",0.023,0.019,0.052,0.038
"P10","Hacemos por nuestro país",0.021,0.025,0.036,0.038
"P10","Otro",0.016,0.021,0.028,0.059
"P10","En blanco",0.009,0.01,0.04,0.034
"P10","No sabe",0.008,0.035,0.016,0.123
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.231,0.091,0.745,0.6
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.615,0.12,0.035,0.058
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.079,0.715,0.068,0.061
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.024,0.015,0.043,0.039
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.029,0.043,0.053,0.079
"P13","En blanco",0.006,0.01,0.037,0.035
"P13","No sabe",0.016,0.006,0.019,0.128
"P26","Totalmente seguro",0.725,0.719,0.761,0.559
"P26","Bastante seguro",0.123,0.119,0.104,0.108
"P26","Algo seguro",0.087,0.11,0.08,0.119
"P26","Para nada seguro",0.065,0.052,0.055,0.214
"P27","Tiene Decidido que va a ir a votar",0.929,0.919,0.939,0.824
"P27","Tiene dudas sobre si va a ir a  votar",0.053,0.06,0.042,0.136
"P27","Tiene Decidido que no va a ir a votar",0.018,0.021,0.019,0.04
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.32,0.078,0.771,0.608
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.625,0.417,0.023,0.045
"P28","En blanco",0.024,0.321,0.156,0.033
"P28","No sabe",0.031,0.184,0.05,0.314
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.44,0.069,0.705,0.615
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.184,0.84,0.056,0.077
"P30","En blanco",0.223,0.054,0.22,0.028
"P30","No sabe",0.153,0.037,0.019,0.28
"P38","Inflación",0.302,0.342,0.373,0.301
"P38","Desempleo",0.072,0.066,0.091,0.128
"P38","Corrupción",0.402,0.415,0.162,0.202
"P38","Inseguridad",0.107,0.085,0.129,0.152
"P38","Precio del dólar",0.02,0.018,0.048,0.043
"P38","Pobreza",0.043,0.019,0.077,0.061
"P38","Narcotráfico",0.01,0.004,0.017,0.027
"P38","Tarifas",0.002,0.007,0.006,0.009
"P38","Otro",0.03,0.025,0.078,0.04
"P38","No sabe",0.012,0.019,0.019,0.037
"P10_imputada","Unión por la Patria",0.228,0.108,0.665,0.546
"P10_imputada","Juntos por el Cambio",0.615,0.166,0.1,0.176
"P10_imputada","De los liberales libertarios",0.088,0.642,0.078,0.097
"P10_imputada","De la Izquierda",0.023,0.02,0.053,0.038
"P10_imputada","Hacemos por nuestro país",0.021,0.028,0.036,0.043
"P10_imputada","Otro",0.016,0.026,0.028,0.065
"P10_imputada","En blanco",0.009,0.01,0.04,0.035
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.236,0.091,0.753,0.641
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.62,0.122,0.037,0.095
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.083,0.719,0.072,0.083
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.024,0.015,0.043,0.042
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.03,0.043,0.053,0.088
"P13_imputada","En blanco",0.007,0.01,0.042,0.051
