"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Unión por la Patria",0.318,0.308,0.327,0.278,0.341,0.33,0.314,0.338,0.301,0.319,0.58,0.096,0.287,0.262,0.286,0.328,0.38,0.644,0.587,0.057,0.185,0.084
"Juntos por el Cambio",0.3,0.259,0.337,0.214,0.255,0.376,0.456,0.292,0.291,0.325,0.163,0.513,0.335,0.333,0.282,0.268,0.285,0.199,0.111,0.833,0.58,0.057
"De los liberales libertarios",0.245,0.313,0.183,0.336,0.26,0.183,0.136,0.222,0.262,0.247,0.146,0.306,0.266,0.245,0.294,0.263,0.217,0.111,0.176,0.091,0.125,0.74
"De la Izquierda",0.034,0.03,0.038,0.039,0.04,0.024,0.025,0.036,0.034,0.032,0.036,0.013,0.019,0.043,0.024,0.039,0.032,0.023,0.071,0.008,0.039,0.03
"Hacemos por nuestro país",0.036,0.03,0.041,0.044,0.039,0.031,0.019,0.038,0.035,0.034,0.023,0.038,0.051,0.057,0.028,0.015,0.025,0.016,0.039,0,0.046,0.027
"Otro",0.038,0.036,0.041,0.057,0.037,0.025,0.029,0.042,0.043,0.026,0.033,0.023,0.02,0.037,0.046,0.052,0.034,0.002,0.016,0.005,0.011,0.031
"En blanco",0.029,0.024,0.033,0.032,0.028,0.031,0.021,0.032,0.034,0.017,0.019,0.011,0.022,0.023,0.04,0.035,0.027,0.005,0,0.006,0.014,0.031
