"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Tiene Decidido que va a ir a votar",0.903,0.9,0.906,0.892,0.903,0.929,0.89,0.863,0.908,0.946,0.925,0.935,0.832,0.905,0.87,0.943,0.914,0.906,0.907,0.943,0.906,0.895
"Tiene dudas sobre si va a ir a  votar",0.072,0.079,0.066,0.09,0.071,0.052,0.069,0.105,0.067,0.038,0.061,0.047,0.127,0.066,0.11,0.027,0.064,0.071,0.075,0.041,0.075,0.097
"Tiene Decidido que no va a ir a votar",0.025,0.021,0.028,0.018,0.026,0.019,0.041,0.032,0.025,0.016,0.014,0.018,0.041,0.029,0.02,0.03,0.022,0.023,0.018,0.016,0.019,0.008
