"var","categoria","Inflación","Desempleo","Corrupción","Precio del dólar","Inseguridad","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P09","Toloza Paz",0.525,0.457,0.136,0.592,0.409,0.379,0.308,0.711,0.6,0.577
"P09","Diego Santilli",0.176,0.16,0.322,0.156,0.239,0.238,0.484,0.144,0.12,0
"P09","Facundo Manes",0.048,0.075,0.122,0.121,0.046,0.033,0,0.042,0.064,0.185
"P09","Florencio Randazzo",0.031,0.015,0.065,0.029,0.067,0.044,0,0.103,0.033,0
"P09","A los candidatos de la izquierda",0.025,0.013,0.034,0,0.019,0.073,0,0,0.02,0.028
"P09","Jose Luis Espert",0.075,0.091,0.142,0,0.017,0.023,0.121,0,0.05,0.015
"P09","Otros candidatos",0.061,0.098,0.056,0.041,0.124,0.089,0.038,0,0.039,0.167
"P09","Votaría en blanco o anularía",0.059,0.091,0.123,0.061,0.079,0.121,0.049,0,0.074,0.028
