"","Si","Puede ser","No"
"Toloza Paz",0.456,0.221,0.021
"Diego Santilli",0.205,0.316,0.192
"Facundo Manes",0.077,0.053,0.114
"Florencio Randazzo",0.047,0.027,0.021
"A los candidatos de la izquierda",0.021,0.06,0.03
"Jose Luis Espert",0.089,0.017,0.014
"Otros candidatos",0.062,0.165,0.063
"Votaría en blanco o anularía",0.043,0.141,0.545
