"","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A los candidatos de la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"Si",0.936,0.76,0.807,0.849,0.641,0.939,0.654,0.355
"Puede ser",0.061,0.165,0.084,0.119,0.266,0.036,0.236,0.144
"No",0.003,0.075,0.109,0.032,0.093,0.025,0.11,0.501
