"","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A los candidatos de la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"Si",0.931,0.757,0.794,0.883,0.636,0.959,0.67,0.352
"Puede ser",0.064,0.166,0.078,0.074,0.263,0.025,0.256,0.165
"No",0.005,0.077,0.128,0.043,0.101,0.016,0.074,0.483
