"var","categoria","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Gobernador y vicegobernador de la izquierda","En blanco","No sabe"
"P10","Unión por la Patria",0.786,0.155,0.123,0.104,0.184,0.107
"P10","Juntos por el Cambio",0.083,0.708,0.139,0.06,0.17,0.085
"P10","De los liberales libertarios",0.085,0.113,0.683,0.113,0.181,0.032
"P10","De la Izquierda",0.008,0.004,0.012,0.583,0.007,0.065
"P10","Hacemos por nuestro país",0.003,0.008,0.013,0.026,0.132,0.003
"P10","Otro",0.009,0.005,0.009,0.11,0.108,0.16
"P10","En blanco",0.008,0.004,0.003,0.004,0.14,0.101
"P10","No sabe",0.018,0.003,0.018,0,0.078,0.447
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.92,0.11,0.116,0.058,0.189,0
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.031,0.804,0.088,0.057,0.092,0
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.049,0.086,0.796,0.045,0.052,0
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0,0,0,0.84,0,0
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0,0,0,0,0.381,0
"P20","En blanco",0,0,0,0,0.286,0
"P20","No sabe",0,0,0,0,0,1
"P26","Totalmente seguro",0.812,0.757,0.794,0.539,0.553,0.068
"P26","Bastante seguro",0.094,0.117,0.074,0.108,0.127,0.175
"P26","Algo seguro",0.048,0.07,0.08,0.14,0.087,0.062
"P26","Para nada seguro",0.046,0.056,0.052,0.213,0.233,0.695
"P27","Tiene Decidido que va a ir a votar",0.956,0.925,0.929,0.899,0.764,0.654
"P27","Tiene dudas sobre si va a ir a  votar",0.039,0.061,0.054,0.051,0.171,0.285
"P27","Tiene Decidido que no va a ir a votar",0.005,0.014,0.017,0.05,0.065,0.061
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.882,0.187,0.168,0.239,0.287,0.146
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.054,0.747,0.392,0.263,0.255,0.17
"P28","En blanco",0.035,0.032,0.307,0.209,0.192,0.094
"P28","No sabe",0.029,0.034,0.133,0.289,0.266,0.59
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.196,0.733,0.212,0.283,0.225,0.216
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.077,0.167,0.713,0.205,0.233,0.045
"P29","En blanco",0.483,0.054,0.041,0.39,0.281,0.095
"P29","No sabe",0.244,0.046,0.034,0.122,0.261,0.644
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.88,0.237,0.132,0.386,0.346,0.141
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.062,0.315,0.728,0.239,0.212,0.176
"P30","En blanco",0.044,0.255,0.084,0.287,0.216,0.07
"P30","No sabe",0.014,0.193,0.056,0.088,0.226,0.613
"P38","Inflación",0.421,0.31,0.322,0.254,0.255,0.241
"P38","Desempleo",0.063,0.063,0.083,0.025,0.072,0.164
"P38","Corrupción",0.126,0.457,0.423,0.364,0.407,0.313
"P38","Inseguridad",0.158,0.091,0.121,0.117,0.136,0.206
"P38","Precio del dólar",0.061,0.011,0.01,0.004,0.058,0.01
"P38","Pobreza",0.071,0.021,0.01,0.072,0.044,0.004
"P38","Narcotráfico",0.021,0.002,0,0.012,0.021,0.048
"P38","Tarifas",0.006,0.004,0.001,0,0,0
"P38","Otro",0.058,0.026,0.029,0.152,0,0.014
"P38","No sabe",0.015,0.015,0.001,0,0.007,0
"CORTA_GOBERNADOR","Si",0.08,0.196,0.204,0.16,0.333,0
"CORTA_GOBERNADOR","No",0.92,0.804,0.796,0.84,0.667,1
