"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P10","Unión por la Patria",0.442,0.302,0.306,0.182
"P10","Juntos por el Cambio",0.263,0.33,0.256,0.205
"P10","De los liberales libertarios",0.23,0.209,0.22,0.094
"P10","De la Izquierda",0.02,0.05,0.028,0.109
"P10","Hacemos por nuestro país",0.013,0.032,0.035,0.017
"P10","Otro",0.014,0.024,0.098,0.079
"P10","En blanco",0.01,0.017,0.013,0.096
"P10","No sabe",0.008,0.036,0.044,0.218
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.478,0.378,0.311,0.279
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.255,0.279,0.289,0.142
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.209,0.18,0.229,0.144
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.019,0.031,0.07,0.071
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.02,0.044,0.048,0.04
"P20","En blanco",0.016,0.022,0.017,0.037
"P20","No sabe",0.003,0.066,0.036,0.287
"P27","Tiene Decidido que va a ir a votar",0.961,0.819,0.8,0.699
"P27","Tiene dudas sobre si va a ir a  votar",0.027,0.181,0.108,0.258
"P27","Tiene Decidido que no va a ir a votar",0.012,0,0.092,0.043
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.521,0.431,0.353,0.203
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.315,0.399,0.424,0.248
"P28","En blanco",0.104,0.095,0.037,0.183
"P28","No sabe",0.06,0.075,0.186,0.366
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.343,0.389,0.448,0.293
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.249,0.24,0.234,0.18
"P29","En blanco",0.281,0.146,0.159,0.149
"P29","No sabe",0.127,0.225,0.159,0.378
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.524,0.384,0.4,0.329
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.278,0.4,0.257,0.19
"P30","En blanco",0.128,0.119,0.12,0.153
"P30","No sabe",0.07,0.097,0.223,0.328
"P38","Inflación",0.358,0.374,0.346,0.226
"P38","Desempleo",0.06,0.1,0.151,0.066
"P38","Corrupción",0.287,0.296,0.33,0.368
"P38","Inseguridad",0.131,0.118,0.126,0.175
"P38","Precio del dólar",0.035,0.003,0.002,0.077
"P38","Pobreza",0.047,0.068,0.019,0.02
"P38","Narcotráfico",0.013,0,0.013,0.02
"P38","Tarifas",0.004,0.003,0,0
"P38","Otro",0.055,0.01,0.009,0.013
"P38","No sabe",0.01,0.028,0.004,0.035
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.444,0.372,0.292,0.2
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.269,0.302,0.278,0.157
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.209,0.141,0.234,0.11
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.025,0.036,0.072,0.078
"GOBERNADOR","En blanco",0.05,0.083,0.088,0.168
"GOBERNADOR","No sabe",0.003,0.066,0.036,0.287
"CORTA_GOBERNADOR","Si",0.126,0.249,0.272,0.155
"CORTA_GOBERNADOR","No",0.874,0.751,0.728,0.845
"P10_imputada","Unión por la Patria",0.448,0.318,0.31,0.253
"P10_imputada","Juntos por el Cambio",0.264,0.35,0.256,0.229
"P10_imputada","De los liberales libertarios",0.232,0.209,0.247,0.138
"P10_imputada","De la Izquierda",0.02,0.05,0.028,0.143
"P10_imputada","Hacemos por nuestro país",0.012,0.032,0.047,0.017
"P10_imputada","Otro",0.014,0.024,0.099,0.106
"P10_imputada","En blanco",0.01,0.017,0.013,0.114
"P20_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.479,0.405,0.336,0.4
"P20_imputada","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.256,0.317,0.295,0.236
"P20_imputada","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.209,0.181,0.234,0.174
"P20_imputada","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.02,0.031,0.07,0.087
"P20_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.02,0.044,0.048,0.042
