"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Javier Milei",0.454,0.483,0.426,0.389,0.479,0.512,0.42,0.443,0.467,0.446,0.339,0.809,0.278,0.198,0.675,0,0,0
"Los gobernadores",0.428,0.387,0.468,0.393,0.481,0.374,0.423,0.421,0.394,0.496,0.572,0.113,0.691,0.768,0.205,0,0,0
"No sabe",0.118,0.13,0.106,0.218,0.04,0.114,0.157,0.136,0.139,0.058,0.089,0.078,0.031,0.034,0.12,0,0,0
