"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.059,0.07,0.049,0.098,0.002,0.09,0.102,0.14,0.022,0.027,0.097,0.025,0.098,0.104,0.03,0,0,0,6
"Buena",0.175,0.172,0.178,0.142,0.181,0.157,0.252,0.219,0.174,0.121,0.19,0.109,0.097,0.215,0.153,0,0,0,6
"Ni buena ni mala",0.24,0.298,0.184,0.165,0.241,0.279,0.319,0.206,0.252,0.259,0.309,0.239,0.139,0.177,0.282,0,0,0,6
"Mala",0.302,0.299,0.305,0.332,0.3,0.35,0.173,0.277,0.309,0.319,0.235,0.341,0.345,0.263,0.31,0,0,0,6
"Muy mala",0.215,0.15,0.277,0.252,0.276,0.122,0.11,0.158,0.232,0.256,0.161,0.262,0.313,0.238,0.211,0,0,0,6
"No sabe",0.009,0.011,0.007,0.011,0,0.002,0.044,0,0.011,0.018,0.008,0.024,0.008,0.003,0.014,0,0,0,6
"Positiva",0.234,0.242,0.227,0.24,0.183,0.247,0.354,0.359,0.196,0.148,0.287,0.134,0.195,0.319,0.183,0,0,0,4
"Neutra",0.24,0.298,0.184,0.165,0.241,0.279,0.319,0.206,0.252,0.259,0.309,0.239,0.139,0.177,0.282,0,0,0,4
"Negativa",0.517,0.449,0.582,0.584,0.576,0.472,0.283,0.435,0.541,0.575,0.396,0.603,0.658,0.501,0.521,0,0,0,4
"No sabe",0.009,0.011,0.007,0.011,0,0.002,0.044,0,0.011,0.018,0.008,0.024,0.008,0.003,0.014,0,0,0,4
