"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.339,0.355,0.324,0.563,0.253,0.293,0.208,0.41,0.31,0.3,0.273,0.533,0.218,0.167,0.496,0,0,0,6
"Buena",0.132,0.156,0.111,0.116,0.114,0.102,0.267,0.097,0.164,0.12,0.112,0.222,0.028,0.046,0.182,0,0,0,6
"Ni buena ni mala",0.169,0.183,0.156,0.092,0.213,0.2,0.146,0.172,0.193,0.119,0.249,0.121,0.042,0.122,0.165,0,0,0,6
"Mala",0.128,0.111,0.143,0.041,0.15,0.181,0.156,0.141,0.137,0.092,0.163,0.109,0.112,0.217,0.064,0,0,0,6
"Muy mala",0.218,0.175,0.257,0.188,0.254,0.196,0.207,0.147,0.191,0.362,0.188,0.01,0.569,0.42,0.091,0,0,0,6
"No sabe",0.014,0.02,0.009,0,0.016,0.028,0.016,0.033,0.005,0.007,0.015,0.005,0.031,0.028,0.002,0,0,0,6
"Positiva",0.471,0.511,0.435,0.679,0.367,0.395,0.475,0.507,0.474,0.42,0.385,0.755,0.246,0.213,0.678,0,0,0,4
"Neutra",0.169,0.183,0.156,0.092,0.213,0.2,0.146,0.172,0.193,0.119,0.249,0.121,0.042,0.122,0.165,0,0,0,4
"Negativa",0.346,0.286,0.4,0.229,0.404,0.377,0.363,0.288,0.328,0.454,0.351,0.119,0.681,0.637,0.155,0,0,0,4
"No sabe",0.014,0.02,0.009,0,0.016,0.028,0.016,0.033,0.005,0.007,0.015,0.005,0.031,0.028,0.002,0,0,0,4
