"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.167,0.123,0.211,0.218,0.108,0.199,0.19,0.284,0.131,0.084,0.19,0.215,0.183,0.203,0.157,0,0,0,6
"Buena",0.137,0.152,0.122,0.164,0.107,0.149,0.152,0.108,0.167,0.119,0.075,0.331,0.023,0.038,0.243,0,0,0,6
"Ni buena ni mala",0.154,0.15,0.158,0.094,0.188,0.148,0.181,0.086,0.192,0.17,0.202,0.14,0.067,0.09,0.186,0,0,0,6
"Mala",0.243,0.302,0.185,0.265,0.259,0.201,0.22,0.35,0.199,0.188,0.305,0.114,0.14,0.254,0.228,0,0,0,6
"Muy mala",0.295,0.265,0.324,0.259,0.338,0.303,0.226,0.159,0.311,0.439,0.222,0.2,0.587,0.409,0.186,0,0,0,6
"No sabe",0.004,0.008,0,0,0,0,0.031,0.013,0,0,0.006,0,0,0.006,0,0,0,0,6
"Positiva",0.304,0.275,0.333,0.382,0.215,0.348,0.342,0.392,0.298,0.203,0.265,0.546,0.206,0.241,0.4,0,0,0,4
"Neutra",0.154,0.15,0.158,0.094,0.188,0.148,0.181,0.086,0.192,0.17,0.202,0.14,0.067,0.09,0.186,0,0,0,4
"Negativa",0.538,0.567,0.509,0.524,0.597,0.504,0.446,0.509,0.51,0.627,0.527,0.314,0.727,0.663,0.414,0,0,0,4
"No sabe",0.004,0.008,0,0,0,0,0.031,0.013,0,0,0.006,0,0,0.006,0,0,0,0,4
