"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.364,0.37,0.357,0.383,0.353,0.382,0.331,0.367,0.41,0.276,0.28,0.674,0.166,0.149,0.577,0,0,0,6
"Buena",0.123,0.145,0.101,0.105,0.107,0.131,0.186,0.071,0.136,0.162,0.113,0.189,0.058,0.036,0.159,0,0,0,6
"Ni buena ni mala",0.169,0.175,0.164,0.213,0.147,0.134,0.203,0.19,0.18,0.122,0.197,0.097,0.126,0.08,0.2,0,0,0,6
"Mala",0.113,0.085,0.141,0.124,0.117,0.092,0.113,0.168,0.084,0.098,0.135,0.009,0.137,0.205,0.037,0,0,0,6
"Muy mala",0.21,0.203,0.217,0.175,0.259,0.202,0.151,0.181,0.16,0.339,0.246,0.031,0.513,0.503,0.022,0,0,0,6
"No sabe",0.021,0.022,0.02,0,0.017,0.059,0.016,0.023,0.03,0.003,0.029,0,0,0.027,0.005,0,0,0,6
"Positiva",0.487,0.515,0.458,0.488,0.46,0.513,0.517,0.438,0.546,0.438,0.393,0.863,0.224,0.185,0.736,0,0,0,4
"Neutra",0.169,0.175,0.164,0.213,0.147,0.134,0.203,0.19,0.18,0.122,0.197,0.097,0.126,0.08,0.2,0,0,0,4
"Negativa",0.323,0.288,0.358,0.299,0.376,0.294,0.264,0.349,0.244,0.437,0.381,0.04,0.65,0.708,0.059,0,0,0,4
"No sabe",0.021,0.022,0.02,0,0.017,0.059,0.016,0.023,0.03,0.003,0.029,0,0,0.027,0.005,0,0,0,4
