"var","categoria","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","No sabe"
"P08","Siempre",0.182,0.248,0.258,0.167
"P08","Casi siempre",0.333,0.35,0.341,0.394
"P08","Casi nunca",0.351,0.302,0.296,0.231
"P08","Nunca, pero esta es una excepción",0.134,0.1,0.105,0.208
"P09","Muy de acuerdo",0.588,0.098,0.054,0.079
"P09","De acuerdo",0.259,0.388,0.054,0.136
"P09","Ni de acuerdo ni en desacuerdo",0.118,0.378,0.332,0.398
"P09","En desacuerdo",0.023,0.068,0.214,0.217
"P09","Muy en desacuerdo",0.007,0.06,0.34,0.108
"P09","No sabe",0.005,0.008,0.006,0.062
"P11","De acuerdo",0.862,0.44,0.214,0.256
"P11","Ni de acuerdo ni en desacuerdo",0.099,0.341,0.216,0.25
"P11","En desacuerdo",0.029,0.177,0.49,0.212
"P11","No sabe",0.01,0.042,0.08,0.282
"P12","De acuerdo",0.93,0.616,0.274,0.465
"P12","Ni de acuerdo ni en desacuerdo",0.036,0.221,0.26,0.142
"P12","En desacuerdo",0.024,0.131,0.373,0.204
"P12","No sabe",0.01,0.032,0.093,0.189
"P13","De acuerdo",0.804,0.374,0.138,0.197
"P13","Ni de acuerdo ni en desacuerdo",0.144,0.414,0.252,0.309
"P13","En desacuerdo",0.036,0.143,0.54,0.179
"P13","No sabe",0.016,0.069,0.07,0.315
"P14","De acuerdo",0.81,0.383,0.189,0.16
"P14","Ni de acuerdo ni en desacuerdo",0.144,0.396,0.222,0.277
"P14","En desacuerdo",0.031,0.158,0.555,0.295
"P14","No sabe",0.015,0.063,0.034,0.268
"P15","De acuerdo",0.722,0.423,0.264,0.332
"P15","Ni de acuerdo ni en desacuerdo",0.203,0.322,0.201,0.216
"P15","En desacuerdo",0.058,0.206,0.48,0.166
"P15","No sabe",0.017,0.049,0.055,0.286
"P16","De acuerdo",0.88,0.593,0.261,0.455
"P16","Ni de acuerdo ni en desacuerdo",0.063,0.216,0.196,0.17
"P16","En desacuerdo",0.046,0.116,0.463,0.15
"P16","No sabe",0.011,0.075,0.08,0.225
"P17","De acuerdo",0.676,0.334,0.111,0.186
"P17","Ni de acuerdo ni en desacuerdo",0.175,0.273,0.102,0.198
"P17","En desacuerdo",0.132,0.352,0.767,0.448
"P17","No sabe",0.017,0.041,0.02,0.168
"P18","De acuerdo",0.641,0.25,0.067,0.132
"P18","Ni de acuerdo ni en desacuerdo",0.221,0.323,0.115,0.239
"P18","En desacuerdo",0.097,0.339,0.793,0.423
"P18","No sabe",0.041,0.088,0.025,0.206
"P19","De acuerdo",0.827,0.435,0.089,0.277
"P19","Ni de acuerdo ni en desacuerdo",0.08,0.195,0.133,0.146
"P19","En desacuerdo",0.084,0.333,0.768,0.402
"P19","No sabe",0.009,0.037,0.01,0.175
"P20","De acuerdo",0.765,0.42,0.09,0.149
"P20","Ni de acuerdo ni en desacuerdo",0.139,0.262,0.14,0.239
"P20","En desacuerdo",0.072,0.257,0.739,0.435
"P20","No sabe",0.024,0.061,0.031,0.177
"P21","De acuerdo",0.798,0.421,0.116,0.257
"P21","Ni de acuerdo ni en desacuerdo",0.106,0.226,0.104,0.189
"P21","En desacuerdo",0.075,0.323,0.752,0.442
"P21","No sabe",0.021,0.03,0.028,0.112
"P22","Si",0.436,0.47,0.551,0.379
"P22","No",0.375,0.186,0.186,0.164
"P22","No sabe",0.189,0.344,0.263,0.457
"P23","Si",0.645,0.272,0.129,0.138
"P23","No",0.263,0.582,0.761,0.687
"P23","No sabe",0.092,0.146,0.11,0.175
"P24","Si",0.543,0.268,0.062,0.114
"P24","No",0.354,0.548,0.808,0.611
"P24","No sabe",0.103,0.184,0.13,0.275
"P25","Si",0.612,0.262,0.095,0.135
"P25","No",0.306,0.616,0.761,0.643
"P25","No sabe",0.082,0.122,0.144,0.222
"P26","A favor",0.87,0.492,0.101,0.371
"P26","En contra",0.065,0.262,0.711,0.426
"P26","No sabe",0.065,0.246,0.188,0.203
