"var","categoria","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","No sabe"
"P08","Siempre",0.209,0.221,0.257,0.108
"P08","Casi siempre",0.334,0.352,0.346,0.407
"P08","Casi nunca",0.331,0.303,0.297,0.336
"P08","Nunca, pero esta es una excepción",0.126,0.124,0.1,0.149
"P09","Muy de acuerdo",0.51,0.221,0.062,0.132
"P09","De acuerdo",0.292,0.243,0.082,0.063
"P09","Ni de acuerdo ni en desacuerdo",0.154,0.377,0.208,0.412
"P09","En desacuerdo",0.024,0.082,0.247,0.236
"P09","Muy en desacuerdo",0.014,0.066,0.385,0.113
"P09","No sabe",0.006,0.011,0.016,0.044
"P10","De acuerdo",0.786,0.364,0.099,0.176
"P10","Ni de acuerdo ni en desacuerdo",0.13,0.35,0.175,0.259
"P10","En desacuerdo",0.063,0.192,0.6,0.138
"P10","No sabe",0.021,0.094,0.126,0.427
"P11","De acuerdo",0.832,0.501,0.188,0.298
"P11","Ni de acuerdo ni en desacuerdo",0.112,0.316,0.228,0.13
"P11","En desacuerdo",0.045,0.144,0.495,0.291
"P11","No sabe",0.011,0.039,0.089,0.281
"P12","De acuerdo",0.936,0.647,0.196,0.38
"P12","Ni de acuerdo ni en desacuerdo",0.039,0.246,0.228,0.171
"P12","En desacuerdo",0.015,0.08,0.467,0.207
"P12","No sabe",0.01,0.027,0.109,0.242
"P13","De acuerdo",0.829,0.315,0.088,0.137
"P13","Ni de acuerdo ni en desacuerdo",0.12,0.593,0.16,0.193
"P13","En desacuerdo",0.033,0.048,0.71,0.12
"P13","No sabe",0.018,0.044,0.042,0.55
"P15","De acuerdo",0.769,0.357,0.166,0.206
"P15","Ni de acuerdo ni en desacuerdo",0.185,0.464,0.102,0.077
"P15","En desacuerdo",0.032,0.142,0.674,0.174
"P15","No sabe",0.014,0.037,0.058,0.543
"P16","De acuerdo",0.886,0.575,0.217,0.31
"P16","Ni de acuerdo ni en desacuerdo",0.067,0.278,0.12,0.128
"P16","En desacuerdo",0.028,0.093,0.609,0.09
"P16","No sabe",0.019,0.054,0.054,0.472
"P17","De acuerdo",0.662,0.333,0.086,0.142
"P17","Ni de acuerdo ni en desacuerdo",0.177,0.303,0.059,0.129
"P17","En desacuerdo",0.141,0.341,0.847,0.365
"P17","No sabe",0.02,0.023,0.008,0.364
"P18","De acuerdo",0.612,0.282,0.053,0.114
"P18","Ni de acuerdo ni en desacuerdo",0.225,0.355,0.078,0.068
"P18","En desacuerdo",0.124,0.308,0.838,0.356
"P18","No sabe",0.039,0.055,0.031,0.462
"P19","De acuerdo",0.798,0.432,0.11,0.169
"P19","Ni de acuerdo ni en desacuerdo",0.086,0.238,0.053,0.162
"P19","En desacuerdo",0.106,0.3,0.827,0.353
"P19","No sabe",0.01,0.03,0.01,0.316
"P20","De acuerdo",0.751,0.372,0.08,0.161
"P20","Ni de acuerdo ni en desacuerdo",0.14,0.326,0.076,0.146
"P20","En desacuerdo",0.08,0.265,0.826,0.309
"P20","No sabe",0.029,0.037,0.018,0.384
"P21","De acuerdo",0.781,0.418,0.106,0.142
"P21","Ni de acuerdo ni en desacuerdo",0.113,0.25,0.057,0.134
"P21","En desacuerdo",0.087,0.317,0.822,0.383
"P21","No sabe",0.019,0.015,0.015,0.341
"P22","Si",0.455,0.407,0.586,0.271
"P22","No",0.362,0.227,0.148,0.178
"P22","No sabe",0.183,0.366,0.266,0.551
"P23","Si",0.623,0.283,0.107,0.165
"P23","No",0.289,0.571,0.771,0.622
"P23","No sabe",0.088,0.146,0.122,0.213
"P24","Si",0.535,0.225,0.073,0.08
"P24","No",0.36,0.57,0.812,0.651
"P24","No sabe",0.105,0.205,0.115,0.269
"P25","Si",0.571,0.27,0.147,0.127
"P25","No",0.332,0.577,0.774,0.661
"P25","No sabe",0.097,0.153,0.079,0.212
"P26","A favor",0.841,0.513,0.086,0.297
"P26","En contra",0.081,0.274,0.759,0.341
"P26","No sabe",0.078,0.213,0.155,0.362
