"var","categoria","Si","No","No sabe"
"P08","Siempre",0.206,0.237,0.176
"P08","Casi siempre",0.336,0.357,0.366
"P08","Casi nunca",0.326,0.291,0.396
"P08","Nunca, pero esta es una excepción",0.132,0.115,0.062
"P09","Muy de acuerdo",0.559,0.185,0.237
"P09","De acuerdo",0.272,0.185,0.28
"P09","Ni de acuerdo ni en desacuerdo",0.115,0.297,0.337
"P09","En desacuerdo",0.021,0.152,0.058
"P09","Muy en desacuerdo",0.029,0.169,0.083
"P09","No sabe",0.004,0.012,0.005
"P10","De acuerdo",0.809,0.327,0.46
"P10","Ni de acuerdo ni en desacuerdo",0.114,0.243,0.244
"P10","En desacuerdo",0.055,0.323,0.188
"P10","No sabe",0.022,0.107,0.108
"P11","De acuerdo",0.818,0.476,0.537
"P11","Ni de acuerdo ni en desacuerdo",0.098,0.231,0.228
"P11","En desacuerdo",0.068,0.233,0.173
"P11","No sabe",0.016,0.06,0.062
"P12","De acuerdo",0.898,0.561,0.688
"P12","Ni de acuerdo ni en desacuerdo",0.057,0.181,0.109
"P12","En desacuerdo",0.033,0.197,0.134
"P12","No sabe",0.012,0.061,0.069
"P13","De acuerdo",0.813,0.36,0.41
"P13","Ni de acuerdo ni en desacuerdo",0.126,0.305,0.341
"P13","En desacuerdo",0.038,0.268,0.185
"P13","No sabe",0.023,0.067,0.064
"P14","De acuerdo",0.806,0.372,0.455
"P14","Ni de acuerdo ni en desacuerdo",0.138,0.277,0.283
"P14","En desacuerdo",0.042,0.297,0.189
"P14","No sabe",0.014,0.054,0.073
"P15","De acuerdo",0.708,0.431,0.483
"P15","Ni de acuerdo ni en desacuerdo",0.215,0.243,0.188
"P15","En desacuerdo",0.062,0.265,0.251
"P15","No sabe",0.015,0.061,0.078
"P16","De acuerdo",0.852,0.531,0.614
"P16","Ni de acuerdo ni en desacuerdo",0.074,0.177,0.103
"P16","En desacuerdo",0.055,0.223,0.193
"P16","No sabe",0.019,0.069,0.09
"P17","De acuerdo",0.734,0.246,0.386
"P17","Ni de acuerdo ni en desacuerdo",0.152,0.196,0.192
"P17","En desacuerdo",0.098,0.517,0.379
"P17","No sabe",0.016,0.041,0.043
"P18","De acuerdo",0.693,0.195,0.295
"P18","Ni de acuerdo ni en desacuerdo",0.181,0.251,0.269
"P18","En desacuerdo",0.098,0.482,0.35
"P18","No sabe",0.028,0.072,0.086
"P19","De acuerdo",0.86,0.327,0.454
"P19","Ni de acuerdo ni en desacuerdo",0.049,0.162,0.196
"P19","En desacuerdo",0.082,0.476,0.313
"P19","No sabe",0.009,0.035,0.037
"P20","De acuerdo",0.806,0.296,0.393
"P20","Ni de acuerdo ni en desacuerdo",0.097,0.222,0.242
"P20","En desacuerdo",0.075,0.423,0.314
"P20","No sabe",0.022,0.059,0.051
"P21","De acuerdo",0.823,0.339,0.41
"P21","Ni de acuerdo ni en desacuerdo",0.095,0.158,0.196
"P21","En desacuerdo",0.069,0.466,0.335
"P21","No sabe",0.013,0.037,0.059
"P22","Si",0.5,0.464,0.286
"P22","No",0.349,0.265,0.145
"P22","No sabe",0.151,0.271,0.569
"P24","Si",0.689,0.126,0.091
"P24","No",0.236,0.794,0.31
"P24","No sabe",0.075,0.08,0.599
"P25","Si",0.707,0.184,0.199
"P25","No",0.215,0.746,0.399
"P25","No sabe",0.078,0.07,0.402
"P26","A favor",0.883,0.38,0.542
"P26","En contra",0.064,0.439,0.22
"P26","No sabe",0.053,0.181,0.238
