"var","categoria","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","No sabe"
"P08","Siempre",0.2,0.211,0.253,0.067
"P08","Casi siempre",0.332,0.345,0.36,0.437
"P08","Casi nunca",0.33,0.361,0.28,0.352
"P08","Nunca, pero esta es una excepción",0.138,0.083,0.107,0.144
"P09","Muy de acuerdo",0.575,0.3,0.088,0.093
"P09","De acuerdo",0.283,0.312,0.12,0.206
"P09","Ni de acuerdo ni en desacuerdo",0.113,0.329,0.303,0.354
"P09","En desacuerdo",0.014,0.027,0.209,0.214
"P09","Muy en desacuerdo",0.008,0.028,0.267,0.081
"P09","No sabe",0.007,0.004,0.013,0.052
"P10","De acuerdo",0.794,0.534,0.231,0.281
"P10","Ni de acuerdo ni en desacuerdo",0.133,0.282,0.209,0.232
"P10","En desacuerdo",0.044,0.105,0.456,0.115
"P10","No sabe",0.029,0.079,0.104,0.372
"P11","De acuerdo",0.83,0.672,0.324,0.488
"P11","Ni de acuerdo ni en desacuerdo",0.107,0.214,0.258,0.104
"P11","En desacuerdo",0.047,0.086,0.341,0.248
"P11","No sabe",0.016,0.028,0.077,0.16
"P12","De acuerdo",0.926,0.83,0.382,0.561
"P12","Ni de acuerdo ni en desacuerdo",0.046,0.097,0.236,0.101
"P12","En desacuerdo",0.019,0.043,0.297,0.199
"P12","No sabe",0.009,0.03,0.085,0.139
"P13","De acuerdo",0.804,0.589,0.218,0.255
"P13","Ni de acuerdo ni en desacuerdo",0.146,0.353,0.278,0.315
"P13","En desacuerdo",0.031,0.026,0.428,0.081
"P13","No sabe",0.019,0.032,0.076,0.349
"P14","De acuerdo",0.803,0.554,0.255,0.347
"P14","Ni de acuerdo ni en desacuerdo",0.153,0.36,0.233,0.152
"P14","En desacuerdo",0.031,0.056,0.463,0.041
"P14","No sabe",0.013,0.03,0.049,0.46
"P15","De acuerdo",0.727,0.568,0.302,0.402
"P15","Ni de acuerdo ni en desacuerdo",0.212,0.314,0.196,0.226
"P15","En desacuerdo",0.047,0.06,0.431,0.136
"P15","No sabe",0.014,0.058,0.071,0.236
"P16","De acuerdo",0.89,0.754,0.354,0.418
"P16","Ni de acuerdo ni en desacuerdo",0.073,0.175,0.171,0.107
"P16","En desacuerdo",0.024,0.041,0.394,0.028
"P16","No sabe",0.013,0.03,0.081,0.447
"P18","De acuerdo",0.778,0.205,0.052,0.067
"P18","Ni de acuerdo ni en desacuerdo",0.16,0.646,0.092,0.044
"P18","En desacuerdo",0.035,0.085,0.814,0.223
"P18","No sabe",0.027,0.064,0.042,0.666
"P19","De acuerdo",0.915,0.541,0.124,0.197
"P19","Ni de acuerdo ni en desacuerdo",0.049,0.358,0.075,0.169
"P19","En desacuerdo",0.034,0.073,0.784,0.174
"P19","No sabe",0.002,0.028,0.017,0.46
"P20","De acuerdo",0.862,0.469,0.1,0.184
"P20","Ni de acuerdo ni en desacuerdo",0.094,0.407,0.145,0.204
"P20","En desacuerdo",0.026,0.081,0.717,0.146
"P20","No sabe",0.018,0.043,0.038,0.466
"P21","De acuerdo",0.857,0.528,0.165,0.257
"P21","Ni de acuerdo ni en desacuerdo",0.083,0.312,0.108,0.156
"P21","En desacuerdo",0.042,0.142,0.707,0.194
"P21","No sabe",0.018,0.018,0.02,0.393
"P22","Si",0.437,0.374,0.551,0.378
"P22","No",0.367,0.31,0.171,0.164
"P22","No sabe",0.196,0.316,0.278,0.458
"P23","Si",0.68,0.383,0.137,0.233
"P23","No",0.23,0.496,0.729,0.606
"P23","No sabe",0.09,0.121,0.134,0.161
"P24","Si",0.592,0.302,0.104,0.086
"P24","No",0.301,0.5,0.764,0.67
"P24","No sabe",0.107,0.198,0.132,0.244
"P25","Si",0.636,0.355,0.147,0.102
"P25","No",0.274,0.475,0.755,0.683
"P25","No sabe",0.09,0.17,0.098,0.215
"P26","A favor",0.896,0.652,0.21,0.341
"P26","En contra",0.048,0.109,0.626,0.308
"P26","No sabe",0.056,0.239,0.164,0.351
