"var","categoria","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","No sabe"
"P08","Siempre",0.192,0.186,0.26,0.228
"P08","Casi siempre",0.331,0.38,0.366,0.329
"P08","Casi nunca",0.34,0.338,0.281,0.291
"P08","Nunca, pero esta es una excepción",0.137,0.096,0.093,0.152
"P09","Muy de acuerdo",0.541,0.251,0.066,0.064
"P09","De acuerdo",0.293,0.317,0.08,0.19
"P09","Ni de acuerdo ni en desacuerdo",0.135,0.331,0.304,0.508
"P09","En desacuerdo",0.019,0.049,0.224,0.16
"P09","Muy en desacuerdo",0.005,0.045,0.317,0.037
"P09","No sabe",0.007,0.007,0.009,0.041
"P10","De acuerdo",0.789,0.44,0.152,0.38
"P10","Ni de acuerdo ni en desacuerdo",0.14,0.315,0.219,0.185
"P10","En desacuerdo",0.039,0.145,0.515,0.175
"P10","No sabe",0.032,0.1,0.114,0.26
"P11","De acuerdo",0.832,0.616,0.262,0.381
"P11","Ni de acuerdo ni en desacuerdo",0.119,0.249,0.251,0.147
"P11","En desacuerdo",0.035,0.117,0.396,0.28
"P11","No sabe",0.014,0.018,0.091,0.192
"P12","De acuerdo",0.94,0.739,0.328,0.281
"P12","Ni de acuerdo ni en desacuerdo",0.039,0.186,0.227,0.25
"P12","En desacuerdo",0.014,0.056,0.34,0.295
"P12","No sabe",0.007,0.019,0.105,0.174
"P13","De acuerdo",0.807,0.463,0.153,0.317
"P13","Ni de acuerdo ni en desacuerdo",0.16,0.419,0.28,0.177
"P13","En desacuerdo",0.019,0.072,0.482,0.142
"P13","No sabe",0.014,0.046,0.085,0.364
"P14","De acuerdo",0.798,0.485,0.181,0.362
"P14","Ni de acuerdo ni en desacuerdo",0.16,0.401,0.248,0.107
"P14","En desacuerdo",0.032,0.074,0.515,0.082
"P14","No sabe",0.01,0.04,0.056,0.449
"P15","De acuerdo",0.716,0.5,0.27,0.495
"P15","Ni de acuerdo ni en desacuerdo",0.207,0.326,0.213,0.182
"P15","En desacuerdo",0.058,0.135,0.444,0.055
"P15","No sabe",0.019,0.039,0.073,0.268
"P16","De acuerdo",0.886,0.648,0.304,0.431
"P16","Ni de acuerdo ni en desacuerdo",0.076,0.182,0.187,0.187
"P16","En desacuerdo",0.023,0.116,0.422,0.027
"P16","No sabe",0.015,0.054,0.087,0.355
"P17","De acuerdo",0.727,0.296,0.073,0.277
"P17","Ni de acuerdo ni en desacuerdo",0.165,0.411,0.091,0.103
"P17","En desacuerdo",0.093,0.255,0.813,0.205
"P17","No sabe",0.015,0.038,0.023,0.415
"P18","De acuerdo",0.681,0.242,0.025,0.143
"P18","Ni de acuerdo ni en desacuerdo",0.211,0.505,0.106,0.188
"P18","En desacuerdo",0.074,0.206,0.817,0.126
"P18","No sabe",0.034,0.047,0.052,0.543
"P19","De acuerdo",0.884,0.403,0.078,0.18
"P19","Ni de acuerdo ni en desacuerdo",0.072,0.373,0.074,0.163
"P19","En desacuerdo",0.036,0.195,0.833,0.23
"P19","No sabe",0.008,0.029,0.015,0.427
"P20","De acuerdo",0.831,0.359,0.044,0.148
"P20","Ni de acuerdo ni en desacuerdo",0.115,0.479,0.116,0.256
"P20","En desacuerdo",0.032,0.12,0.803,0.102
"P20","No sabe",0.022,0.042,0.037,0.494
"P22","Si",0.464,0.387,0.513,0.218
"P22","No",0.365,0.265,0.147,0.267
"P22","No sabe",0.171,0.348,0.34,0.515
"P23","Si",0.649,0.314,0.111,0.205
"P23","No",0.27,0.524,0.754,0.566
"P23","No sabe",0.081,0.162,0.135,0.229
"P24","Si",0.57,0.226,0.068,0.068
"P24","No",0.319,0.578,0.796,0.618
"P24","No sabe",0.111,0.196,0.136,0.314
"P25","Si",0.634,0.25,0.082,0.139
"P25","No",0.292,0.556,0.796,0.529
"P25","No sabe",0.074,0.194,0.122,0.332
"P26","A favor",0.875,0.607,0.141,0.282
"P26","En contra",0.057,0.177,0.685,0.167
"P26","No sabe",0.068,0.216,0.174,0.551
