"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","GBA","INTERIOR","CENTRO","CUYO","NEA","NOA","PATAGONIA"
"Si",0.92,0.928,0.915,0.914,0.921,0.925,0.901,0.919,0.936,0.918,0.927,0.925,0.95,0.93,0.803,0.895,0.897
"No",0.08,0.072,0.085,0.086,0.079,0.075,0.099,0.081,0.064,0.082,0.073,0.075,0.05,0.07,0.197,0.105,0.103
