"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","GBA","INTERIOR","CENTRO","CUYO","NEA","NOA","PATAGONIA"
"Si",0.504,0.522,0.492,0.36,0.532,0.631,0.485,0.453,0.59,0.531,0.512,0.511,0.552,0.463,0.518,0.413,0.386
"No",0.496,0.478,0.508,0.64,0.468,0.369,0.515,0.547,0.41,0.469,0.488,0.489,0.448,0.537,0.482,0.587,0.614
