"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","GBA","INTERIOR","CENTRO","CUYO","NEA","NOA","PATAGONIA"
"Si",0.171,0.169,0.172,0.197,0.166,0.129,0.195,0.163,0.159,0.15,0.158,0.169,0.166,0.15,0.231,0.255,0.138
"No",0.829,0.831,0.828,0.803,0.834,0.871,0.805,0.837,0.841,0.85,0.842,0.831,0.834,0.85,0.769,0.745,0.862
