"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","GBA","INTERIOR","CENTRO","CUYO","NEA","NOA","PATAGONIA"
"Si",0.968,0.967,0.969,0.958,0.974,0.958,0.952,0.975,0.972,0.977,0.965,0.955,0.989,0.973,0.93,0.947,0.988
"No",0.032,0.033,0.031,0.042,0.026,0.042,0.048,0.025,0.028,0.023,0.035,0.045,0.011,0.027,0.07,0.053,0.012
