"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","GBA","INTERIOR","CENTRO","CUYO","NEA","NOA","PATAGONIA"
"Sí, mucho",0.209,0.193,0.221,0.304,0.185,0.145,0.214,0.238,0.161,0.244,0.184,0.193,0.161,0.349,0.23,0.221,0.265
"Si, un poco",0.674,0.653,0.688,0.611,0.695,0.667,0.657,0.668,0.697,0.665,0.706,0.656,0.698,0.591,0.644,0.686,0.61
"No",0.117,0.154,0.091,0.085,0.12,0.188,0.129,0.094,0.142,0.091,0.11,0.151,0.141,0.06,0.126,0.093,0.125
