clase,Todos,Hombres,Mujeres,16-29 años,30-49 años,50+ años,Hasta primario completo,Secundario completo/incompleto,Terciario completo/incompleto,CABA,GBA,INTERIOR,CENTRO,CUYO,NEA,NOA,PATAGONIA
Con hijos de 3 años y menos,0.436,0.45,0.425,0.596,0.38,0.339,0.463,0.424,0.429,0.484,0.383,0.397,0.471,0.447,0.515,0.512,0.357
Con hijos mayores de 3 años,0.564,0.55,0.575,0.404,0.62,0.661,0.537,0.576,0.571,0.516,0.617,0.603,0.529,0.553,0.485,0.488,0.643
