"var","categoria","Gustavo Menéndez a intendente por Unión por la Patria","Zencich a intendente por Juntos por el Cambio","Eduardo Varela a intendente por la Libertad Avanza","Raul Othacehé a intendente por el frente vecinal crecer","El candidato a intendente de la Izquierda","En blanco"
"P05","Mucho",0.427,0.361,0.467,0.32,0.415,0.262
"P05","Bastante",0.313,0.293,0.311,0.259,0.275,0.313
"P05","Poco",0.129,0.24,0.144,0.215,0.266,0.072
"P05","Nada",0.094,0.064,0.061,0.063,0,0.271
"P05","No sabe",0.037,0.042,0.017,0.143,0.044,0.082
"P06","Siempre",0.207,0.252,0.196,0.158,0.053,0.139
"P06","Casi siempre",0.306,0.313,0.312,0.355,0.394,0.029
"P06","Casi nunca",0.274,0.259,0.387,0.36,0.454,0.558
"P06","Nunca, pero esta es una excepción",0.213,0.176,0.105,0.127,0.099,0.274
"P09","Unión por la Patria",0.648,0.137,0.082,0.201,0.306,0.284
"P09","Juntos por el Cambio",0.135,0.618,0.032,0.149,0.003,0.024
"P09","De los Liberales libertarios",0.089,0.151,0.683,0.213,0.088,0
"P09","De la Izquierda",0.014,0.032,0.115,0.11,0.415,0.073
"P09","Hacemos por nuestro país",0.037,0.012,0.002,0.048,0.065,0.01
"P09","Otro",0.012,0.005,0.029,0.137,0.101,0.207
"P09","En blanco",0.003,0.012,0.024,0.018,0.008,0.264
"P09","No sabe",0.062,0.033,0.033,0.124,0.014,0.138
"P12_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.837,0.077,0.05,0.227,0.363,0.266
"P12_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.045,0.774,0.045,0.1,0.049,0.037
"P12_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.065,0.14,0.877,0.158,0.053,0
"P12_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.016,0.004,0.006,0.398,0.003,0
