"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","0652A","0655A","652","653","654","655","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Totalmente seguro",0.621,0.618,0.624,0.618,0.604,0.62,0.678,0.563,0.635,0.708,0.612,0.605,0.525,0.603,0.734,0.7,0.659,0.638,0.618,0.768,0.478
"Bastante seguro",0.186,0.186,0.186,0.155,0.174,0.247,0.175,0.224,0.173,0.139,0.226,0.164,0.178,0.213,0.129,0.129,0.185,0.197,0.224,0.167,0.159
"Algo seguro",0.088,0.081,0.096,0.055,0.115,0.079,0.086,0.127,0.069,0.056,0.093,0.08,0.14,0.102,0.046,0.044,0.102,0.092,0.074,0.026,0.171
"Para nada seguro",0.105,0.115,0.094,0.172,0.107,0.054,0.061,0.086,0.123,0.097,0.069,0.151,0.157,0.082,0.091,0.127,0.054,0.073,0.084,0.039,0.192
