"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","0652A","0655A","652","653","654","655","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Axel Kicillof a gobernador por Unión por la Patria",0.395,0.385,0.403,0.228,0.405,0.531,0.436,0.437,0.342,0.45,0.438,0.366,0.427,0.336,0.345,0.401,0.727,0.109,0.207,0.034,0.443
"Néstor Grindetti a gobernador por Juntos por el Cambio",0.256,0.233,0.279,0.298,0.172,0.274,0.4,0.191,0.318,0.225,0.251,0.301,0.168,0.359,0.266,0.144,0.086,0.647,0.565,0.103,0.2
"Carolina Piparo a gobernadora por la Libertad Avanza",0.274,0.304,0.244,0.364,0.339,0.149,0.125,0.282,0.279,0.24,0.273,0.234,0.272,0.262,0.324,0.298,0.152,0.23,0.164,0.787,0.185
"El candidato a gobernador de la Izquierda",0.032,0.04,0.025,0.019,0.058,0.015,0.008,0.047,0.021,0.032,0.014,0.023,0.034,0.025,0.028,0.157,0.015,0.005,0.05,0.015,0.071
"En blanco",0.043,0.038,0.049,0.091,0.026,0.031,0.031,0.043,0.04,0.053,0.024,0.076,0.099,0.018,0.037,0,0.02,0.009,0.014,0.061,0.101
