"var","categoria","Gustavo Menéndez a intendente por Unión por la Patria","Zencich a intendente por Juntos por el Cambio","Eduardo Varela a intendente por la Libertad Avanza","Raul Othacehé a intendente por el frente vecinal crecer","El candidato a intendente de la Izquierda","En blanco"
"P05","Mucho",0.354,0.387,0.38,0.31,0.568,0.251
"P05","Bastante",0.36,0.267,0.342,0.236,0.246,0.294
"P05","Poco",0.174,0.28,0.158,0.279,0.186,0.125
"P05","Nada",0.102,0.061,0.12,0.063,0,0.33
"P05","No sabe",0.01,0.005,0,0.112,0,0
"P06","Siempre",0.272,0.281,0.139,0.128,0.082,0.227
"P06","Casi siempre",0.279,0.277,0.357,0.367,0.497,0.053
"P06","Casi nunca",0.29,0.286,0.338,0.384,0.421,0.477
"P06","Nunca, pero esta es una excepción",0.159,0.156,0.166,0.121,0,0.243
"P09","Unión por la Patria",0.474,0.065,0.09,0.242,0.413,0.432
"P09","Juntos por el Cambio",0.163,0.569,0.098,0.165,0.007,0.039
"P09","De los Liberales libertarios",0.166,0.264,0.603,0.185,0.12,0
"P09","De la Izquierda",0.019,0.051,0.041,0.051,0.321,0.152
"P09","Hacemos por nuestro país",0.084,0.004,0,0.05,0,0.012
"P09","Otro",0.023,0.005,0.078,0.151,0.114,0.049
"P09","En blanco",0.01,0.024,0.062,0.017,0.011,0.095
"P09","No sabe",0.061,0.018,0.028,0.139,0.014,0.221
"P12_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.524,0.138,0.164,0.252,0.481,0.444
"P12_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.14,0.593,0.148,0.123,0.095,0.059
"P12_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.18,0.256,0.569,0.155,0.081,0
"P12_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.044,0.007,0.025,0.33,0.008,0
"P12_imputada","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.03,0,0.043,0.078,0.335,0.181
"P12_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.064,0.006,0,0.006,0,0
"P12_imputada","En blanco",0.018,0,0.051,0.056,0,0.316
"P16_imputada","Sergio Massa a presidente por Unión por la Patria",0.534,0.203,0.115,0.518,0.549,0.462
"P16_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.197,0.496,0.158,0.152,0.068,0.112
"P16_imputada","Javier Milei a presidente por la Libertad Avanza",0.149,0.295,0.629,0.168,0.085,0.01
"P16_imputada","Los candidatos a presidente de la Izquierda",0.035,0,0.095,0.074,0.29,0.152
"P16_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.073,0.006,0.003,0.068,0.008,0
"P16_imputada","En blanco",0.012,0,0,0.02,0,0.264
"P19_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.514,0.172,0.193,0.468,0.631,0.533
"P19_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.242,0.501,0.249,0.269,0.015,0.039
"P19_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.161,0.314,0.507,0.102,0.053,0.221
"P19_imputada","El candidato a gobernador de la Izquierda",0.032,0,0,0.126,0.121,0.164
"P19_imputada","En blanco",0.051,0.013,0.051,0.035,0.18,0.043
"P25","Totalmente seguro",0.63,0.627,0.623,0.517,0.523,0.353
"P25","Bastante seguro",0.199,0.175,0.177,0.132,0.154,0.194
"P25","Algo seguro",0.064,0.133,0.075,0.103,0.101,0.044
"P25","Para nada seguro",0.107,0.065,0.125,0.248,0.222,0.409
"P26","Tiene Decidido que va a ir a votar",0.858,0.873,0.847,0.911,0.92,0.533
"P26","Tiene dudas sobre si va a ir a  votar",0.128,0.089,0.044,0.034,0.031,0.013
"P26","Tiene Decidido que no va a ir a votar",0.014,0.038,0.109,0.055,0.049,0.454
"P27","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.346,0.636,0.64,0.457,0.243,0.054
"P27","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.157,0.142,0.08,0.049,0.081,0
"P27","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.241,0.055,0.108,0.28,0.333,0.346
"P27","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.151,0.101,0.046,0.139,0.229,0.03
"P27","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.026,0.001,0.072,0.019,0.084,0.209
"P27","No sabe",0.079,0.065,0.054,0.056,0.03,0.361
"P28","Lo votaría",0.432,0.067,0.202,0.302,0.245,0.133
"P28","Puede que lo vote",0.147,0.196,0.07,0.183,0.463,0.301
"P28","Nunca lo votaría",0.328,0.664,0.704,0.301,0.247,0.484
"P28","No sabe",0.093,0.073,0.024,0.214,0.045,0.082
"P29","Lo votaría",0.277,0.565,0.111,0.193,0,0.079
"P29","Puede que lo vote",0.102,0.191,0.331,0.17,0.302,0
"P29","Nunca lo votaría",0.489,0.186,0.529,0.501,0.663,0.907
"P29","No sabe",0.132,0.058,0.029,0.136,0.035,0.014
"P30","Lo votaría",0.207,0.235,0.561,0.171,0,0.034
"P30","Puede que lo vote",0.087,0.278,0.194,0.192,0.287,0
"P30","Nunca lo votaría",0.573,0.455,0.236,0.524,0.678,0.952
"P30","No sabe",0.133,0.032,0.009,0.113,0.035,0.014
"P31","Lo votaría",0.091,0.166,0.2,0.724,0.025,0.046
"P31","Puede que lo vote",0.107,0.112,0.178,0.129,0.097,0.034
"P31","Nunca lo votaría",0.641,0.618,0.609,0.07,0.812,0.832
