"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","0652A","0655A","652","653","654","655","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Si",0.384,0.412,0.353,0.398,0.336,0.417,0.443,0.399,0.389,0.34,0.339,0.476,0.416,0.451,0.264,0.451,0.392,0.387,0.297,0.357,0.442
"No",0.616,0.588,0.647,0.602,0.664,0.583,0.557,0.601,0.611,0.66,0.661,0.524,0.584,0.549,0.736,0.549,0.608,0.613,0.703,0.643,0.558
