"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","0652A","0655A","652","653","654","655","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Mucho",0.376,0.431,0.325,0.365,0.378,0.382,0.387,0.367,0.355,0.467,0.401,0.337,0.398,0.437,0.307,0.318,0.436,0.333,0.278,0.413,0.451
"Bastante",0.276,0.281,0.271,0.278,0.294,0.274,0.219,0.207,0.323,0.318,0.315,0.275,0.17,0.273,0.312,0.253,0.314,0.307,0.363,0.364,0.13
"Poco",0.171,0.141,0.199,0.152,0.176,0.191,0.17,0.187,0.175,0.118,0.141,0.23,0.218,0.162,0.137,0.164,0.139,0.275,0.213,0.123,0.245
"Nada",0.12,0.105,0.134,0.134,0.106,0.121,0.126,0.145,0.11,0.082,0.113,0.084,0.166,0.041,0.185,0.155,0.083,0.056,0.081,0.071,0.126
"No sabe",0.057,0.042,0.071,0.071,0.046,0.032,0.098,0.094,0.037,0.015,0.03,0.074,0.048,0.087,0.059,0.11,0.028,0.029,0.065,0.029,0.048
