"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","0652A","0655A","652","653","654","655","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.368,0.357,0.378,0.206,0.382,0.504,0.4,0.42,0.304,0.431,0.424,0.319,0.369,0.296,0.309,0.456,0.738,0.096,0.174,0.031,0.221
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.243,0.219,0.267,0.296,0.149,0.263,0.393,0.193,0.291,0.223,0.227,0.29,0.153,0.306,0.292,0.179,0.105,0.604,0.612,0.062,0.158
"Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.271,0.312,0.232,0.302,0.357,0.154,0.154,0.259,0.291,0.244,0.274,0.26,0.266,0.269,0.294,0.257,0.108,0.259,0.146,0.826,0.262
"Raul Othacehé a intendente por el frente vecinal crecer",0.044,0.026,0.062,0.089,0.034,0.02,0.03,0.057,0.04,0.026,0.024,0.087,0.071,0.019,0.023,0.064,0.004,0.003,0.044,0.07,0.259
"Los candidatos a presidente, gobernador e intendente de la Izquierda",0.033,0.053,0.013,0.034,0.043,0.028,0.007,0.037,0.033,0.021,0.019,0.02,0.042,0.083,0.022,0.044,0.014,0.036,0.007,0.008,0.046
"Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.013,0.003,0.022,0.026,0.01,0.005,0.009,0.015,0.009,0.018,0.007,0.007,0.054,0.003,0.009,0,0.024,0,0.01,0,0.031
"En blanco",0.028,0.03,0.026,0.047,0.025,0.026,0.007,0.019,0.032,0.037,0.025,0.017,0.045,0.024,0.051,0,0.007,0.002,0.007,0.003,0.023
