"var","categoria","Sergio Massa a presidente por Unión por la Patria","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Los candidatos a presidente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco"
"P05","Mucho",0.441,0.363,0.433,0.183,0.137,0.309
"P05","Bastante",0.298,0.28,0.33,0.292,0.222,0.292
"P05","Poco",0.167,0.242,0.152,0.14,0,0.037
"P05","Nada",0.063,0.07,0.072,0.234,0.395,0.112
"P05","No sabe",0.031,0.045,0.013,0.151,0.246,0.25
"P06","Siempre",0.244,0.206,0.183,0.007,0.005,0.199
"P06","Casi siempre",0.339,0.319,0.294,0.167,0.15,0.209
"P06","Casi nunca",0.241,0.303,0.383,0.449,0.795,0.423
"P06","Nunca, pero esta es una excepción",0.176,0.172,0.14,0.377,0.05,0.169
"P09","Unión por la Patria",0.641,0.141,0.075,0.052,0.021,0.025
"P09","Juntos por el Cambio",0.099,0.721,0.059,0,0.005,0
"P09","De los Liberales libertarios",0.096,0.053,0.668,0.097,0.246,0.125
"P09","De la Izquierda",0.018,0.009,0.104,0.594,0.024,0.19
"P09","Hacemos por nuestro país",0.013,0.015,0.004,0.063,0.53,0.025
"P09","Otro",0.037,0.011,0.023,0.073,0.148,0.158
"P09","En blanco",0.011,0.005,0.029,0,0.026,0.33
"P09","No sabe",0.085,0.045,0.038,0.121,0,0.147
"P12_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.838,0.051,0.05,0.054,0,0.062
"P12_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.053,0.84,0.069,0.024,0,0
"P12_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.031,0.094,0.857,0,0,0
"P12_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.053,0.009,0.007,0.102,0.257,0.395
"P12_imputada","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.018,0.001,0.005,0.641,0.049,0
"P12_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.001,0,0,0,0.668,0
"P12_imputada","En blanco",0.006,0.005,0.012,0.179,0.026,0.543
"P15","Si",0.447,0.499,0.448,0.682,0.838,0.472
"P15","No",0.553,0.501,0.552,0.318,0.162,0.528
"P16_imputada","Sergio Massa a presidente por Unión por la Patria",1,0,0,0,0,0
"P16_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0,1,0,0,0,0
"P16_imputada","Javier Milei a presidente por la Libertad Avanza",0,0,1,0,0,0
"P16_imputada","Los candidatos a presidente de la Izquierda",0,0,0,1,0,0
"P16_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0,0,0,1,0
"P16_imputada","En blanco",0,0,0,0,0,1
"P19_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.765,0.078,0.107,0.16,0.246,0.291
"P19_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.071,0.713,0.303,0.155,0.038,0.043
"P19_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.136,0.183,0.563,0,0.014,0.464
"P19_imputada","El candidato a gobernador de la Izquierda",0.013,0.016,0.023,0.341,0.312,0
"P19_imputada","En blanco",0.015,0.01,0.004,0.344,0.39,0.202
"P22_imputada","Gustavo Menéndez a intendente por Unión por la Patria",0.42,0.22,0.173,0.178,0.591,0.204
"P22_imputada","Zencich a intendente por Juntos por el Cambio",0.164,0.566,0.35,0,0.052,0
"P22_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.042,0.082,0.34,0.225,0.012,0
"P22_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.248,0.102,0.118,0.23,0.334,0.204
