"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza","Raul Othacehé a intendente por el frente vecinal crecer","Los candidatos a presidente, gobernador e intendente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P05","Mucho",0.436,0.38,0.429,0.255,0.323,0.13,0.293,0.347
"P05","Bastante",0.325,0.28,0.336,0.149,0.449,0.325,0.159,0.145
"P05","Poco",0.142,0.241,0.154,0.3,0.165,0,0.095,0.17
"P05","Nada",0.072,0.065,0.075,0.085,0.015,0.545,0.358,0.124
"P05","No sabe",0.025,0.034,0.006,0.211,0.048,0,0.095,0.214
"P06","Siempre",0.208,0.25,0.201,0.248,0.179,0.018,0.016,0.052
"P06","Casi siempre",0.332,0.308,0.288,0.301,0.263,0.147,0.208,0.28
"P06","Casi nunca",0.247,0.277,0.377,0.354,0.385,0.761,0.471,0.43
"P06","Nunca, pero esta es una excepción",0.213,0.165,0.134,0.097,0.173,0.074,0.305,0.238
"P09","Unión por la Patria",0.731,0.156,0.068,0.23,0.136,0.049,0.052,0.052
"P09","Juntos por el Cambio",0.115,0.719,0.048,0.045,0.155,0,0,0.051
"P09","De los Liberales libertarios",0.068,0.08,0.736,0.223,0.027,0,0.101,0.042
"P09","De la Izquierda",0.008,0.011,0.11,0.216,0.486,0.033,0,0.058
"P09","Hacemos por nuestro país",0.018,0.01,0.005,0.01,0.108,0.71,0,0
"P09","Otro",0.019,0.012,0.012,0.234,0.088,0.208,0.095,0.052
"P09","En blanco",0.008,0.004,0.001,0.028,0,0,0.49,0.114
"P09","No sabe",0.033,0.008,0.02,0.014,0,0,0.262,0.631
"P15","Si",0.369,0.51,0.457,0.972,0.647,0.761,0.654,0.747
"P15","No",0.631,0.49,0.543,0.028,0.353,0.239,0.346,0.253
"P16","Sergio Massa a presidente por Unión por la Patria",0.83,0.133,0.091,0.505,0.365,0.027,0.135,0.381
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0.078,0.672,0.184,0.032,0.012,0,0,0.135
"P16","Javier Milei a presidente por la Libertad Avanza",0.063,0.165,0.725,0.064,0.053,0,0.064,0.146
"P16","Los candidatos a presidente de la Izquierda",0.009,0,0,0.087,0.51,0,0.162,0.082
