"var","categoria","Axel Kicillof a gobernador por Unión por la Patria","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco"
"P05","Mucho",0.416,0.355,0.464,0.318,0.255
"P05","Bastante",0.311,0.306,0.29,0.236,0.239
"P05","Poco",0.158,0.207,0.19,0.138,0.058
"P05","Nada",0.082,0.075,0.042,0.112,0.286
"P05","No sabe",0.033,0.057,0.014,0.196,0.162
"P06","Siempre",0.202,0.216,0.236,0.016,0.13
"P06","Casi siempre",0.334,0.325,0.274,0.26,0.221
"P06","Casi nunca",0.275,0.298,0.36,0.47,0.436
"P06","Nunca, pero esta es una excepción",0.189,0.161,0.13,0.254,0.213
"P09","Unión por la Patria",0.661,0.132,0.09,0.057,0.025
"P09","Juntos por el Cambio",0.095,0.668,0.077,0,0.033
"P09","De los Liberales libertarios",0.084,0.111,0.62,0.276,0.145
"P09","De la Izquierda",0.016,0.012,0.103,0.484,0.267
"P09","Hacemos por nuestro país",0.023,0.02,0.003,0.079,0.144
"P09","Otro",0.052,0.012,0.015,0.015,0.143
"P09","En blanco",0.008,0.001,0.031,0.016,0.185
"P09","No sabe",0.061,0.044,0.061,0.073,0.058
"P12_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.849,0.054,0.077,0.043,0
"P12_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.034,0.77,0.118,0,0.031
"P12_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.033,0.133,0.782,0.177,0.008
"P12_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.059,0.003,0.005,0.178,0.318
"P12_imputada","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.01,0.021,0,0.586,0.105
"P12_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.01,0.003,0,0,0.195
"P12_imputada","En blanco",0.005,0.016,0.018,0.016,0.343
"P15","Si",0.418,0.528,0.447,0.644,0.623
"P15","No",0.582,0.472,0.553,0.356,0.377
"P16_imputada","Sergio Massa a presidente por Unión por la Patria",0.805,0.089,0.205,0.113,0.126
"P16_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.058,0.625,0.193,0.096,0.058
"P16_imputada","Javier Milei a presidente por la Libertad Avanza",0.075,0.252,0.566,0.133,0.024
"P16_imputada","Los candidatos a presidente de la Izquierda",0.023,0.027,0,0.409,0.404
"P16_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.024,0.004,0.002,0.249,0.304
"P16_imputada","En blanco",0.015,0.003,0.034,0,0.084
"P19_imputada","Axel Kicillof a gobernador por Unión por la Patria",1,0,0,0,0
"P19_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0,1,0,0,0
"P19_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0,0,1,0,0
"P19_imputada","El candidato a gobernador de la Izquierda",0,0,0,1,0
"P19_imputada","En blanco",0,0,0,0,1
"P22_imputada","Gustavo Menéndez a intendente por Unión por la Patria",0.412,0.232,0.196,0.212,0.345
"P22_imputada","Zencich a intendente por Juntos por el Cambio",0.141,0.493,0.392,0,0.092
"P22_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.072,0.111,0.289,0,0.162
"P22_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.227,0.156,0.075,0.503,0.145
"P22_imputada","El candidato a intendente de la Izquierda",0.09,0.003,0.012,0.14,0.217
"P22_imputada","En blanco",0.058,0.005,0.036,0.145,0.039
"P25","Totalmente seguro",0.614,0.659,0.676,0.422,0.16
"P25","Bastante seguro",0.176,0.214,0.173,0.171,0.22
"P25","Algo seguro",0.113,0.046,0.084,0.205,0.033
"P25","Para nada seguro",0.097,0.081,0.067,0.202,0.587
"P26","Tiene Decidido que va a ir a votar",0.872,0.898,0.879,0.706,0.494
"P26","Tiene dudas sobre si va a ir a  votar",0.079,0.051,0.071,0.142,0.327
"P26","Tiene Decidido que no va a ir a votar",0.049,0.051,0.05,0.152,0.179
"P27","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.209,0.627,0.647,0.519,0.446
"P27","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.091,0.166,0.118,0.1,0.049
"P27","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.463,0.116,0.097,0.06,0.12
"P27","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.119,0.03,0.052,0.122,0.194
"P27","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.031,0.011,0.009,0.163,0.036
"P27","No sabe",0.087,0.05,0.077,0.036,0.155
"P28","Lo votaría",0.694,0.158,0.115,0.19,0.081
"P28","Puede que lo vote",0.141,0.063,0.037,0.528,0.193
"P28","Nunca lo votaría",0.07,0.736,0.793,0.224,0.635
"P28","No sabe",0.095,0.043,0.055,0.058,0.091
"P29","Lo votaría",0.106,0.704,0.116,0,0.013
"P29","Puede que lo vote",0.053,0.097,0.232,0.395,0.181
"P29","Nunca lo votaría",0.758,0.169,0.535,0.51,0.64
"P29","No sabe",0.083,0.03,0.117,0.095,0.166
"P30","Lo votaría",0.066,0.185,0.722,0.137,0.012
"P30","Puede que lo vote",0.059,0.215,0.096,0.441,0.175
"P30","Nunca lo votaría",0.794,0.548,0.155,0.399,0.659
"P30","No sabe",0.081,0.052,0.027,0.023,0.154
"P31","Lo votaría",0.154,0.227,0.186,0.243,0.133
"P31","Puede que lo vote",0.081,0.177,0.08,0.367,0.028
"P31","Nunca lo votaría",0.675,0.509,0.636,0.294,0.784
"P31","No sabe",0.09,0.087,0.098,0.096,0.055
"P32","Si",0.429,0.394,0.316,0.322,0.37
"P32","No",0.571,0.606,0.684,0.678,0.63
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria",0.919,0.051,0.089,0.066,0.064
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.023,0.808,0.083,0.073,0.024
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.032,0.123,0.813,0.103,0.009
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.009,0.014,0,0.595,0.202
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.01,0.003,0,0.163,0.22
"PRESIDENTE_imputada","En blanco",0.007,0.001,0.015,0,0.481
"INTENDENTE_imputada","Gustavo Menéndez a intendente por Unión por la Patria",0.752,0.115,0.08,0.125,0.147
"INTENDENTE_imputada","Zencich a intendente por Juntos por el Cambio",0.063,0.736,0.169,0,0.045
"INTENDENTE_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.028,0.062,0.699,0,0.066
"INTENDENTE_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.092,0.082,0.033,0.346,0.344
"INTENDENTE_imputada","El candidato a intendente de la Izquierda",0.041,0.002,0.004,0.453,0.091
"INTENDENTE_imputada","En blanco",0.024,0.003,0.015,0.076,0.307
