"var","categoria","Sergio Massa a presidente por Unión por la Patria","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Los candidatos a presidente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P05","Mucho",0.418,0.388,0.35,0.252,0.112,0.641,0.148
"P05","Bastante",0.315,0.254,0.378,0.356,0.15,0.267,0.118
"P05","Poco",0.228,0.283,0.18,0,0,0.092,0.371
"P05","Nada",0.032,0.069,0.092,0.392,0.46,0,0.201
"P05","No sabe",0.007,0.006,0,0,0.278,0,0.162
"P06","Siempre",0.332,0.2,0.143,0,0.006,0.073,0.053
"P06","Casi siempre",0.378,0.303,0.318,0.228,0.215,0.274,0.079
"P06","Casi nunca",0.205,0.347,0.348,0.282,0.779,0.561,0.641
"P06","Nunca, pero esta es una excepción",0.085,0.15,0.191,0.49,0,0.092,0.227
"P09","Unión por la Patria",0.552,0.07,0.076,0.11,0,0,0.028
"P09","Juntos por el Cambio",0.065,0.755,0.149,0,0.006,0,0.154
"P09","De los Liberales libertarios",0.153,0.104,0.614,0.13,0.278,0,0.042
"P09","De la Izquierda",0.036,0.011,0.052,0.64,0.026,0,0
"P09","Hacemos por nuestro país",0.013,0.013,0.008,0,0.66,0,0.029
"P09","Otro",0.054,0.011,0.034,0.12,0,0.092,0.245
"P09","En blanco",0.027,0,0.035,0,0.03,0.395,0.142
"P09","No sabe",0.1,0.036,0.032,0,0,0.513,0.36
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.593,0.08,0.065,0.052,0,0.092,0.068
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.095,0.688,0.169,0,0,0,0.144
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.059,0.17,0.675,0,0,0,0
"P12","Raul Othacehé a intendente por el frente vecinal crecer",0.097,0.009,0.018,0.139,0.284,0.073,0.211
"P12","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.043,0.002,0.009,0.503,0.081,0,0
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.001,0,0,0,0.605,0,0
"P12","En blanco",0.013,0,0.009,0.13,0.03,0.835,0.131
"P12","No sabe",0.099,0.051,0.055,0.176,0,0,0.446
"P19","Axel Kicillof a gobernador por Unión por la Patria",0.718,0.07,0.104,0.174,0.214,0.226,0.371
"P19","Néstor Grindetti a gobernador por Juntos por el Cambio",0.075,0.704,0.291,0,0.024,0.047,0.161
"P19","Carolina Piparo a gobernadora por la Libertad Avanza",0.144,0.173,0.532,0,0,0,0.028
"P19","El candidato a gobernador de la Izquierda",0.008,0.017,0.024,0.411,0.317,0,0
"P19","En blanco",0.016,0.01,0.004,0.415,0.395,0.221,0
"P19","No sabe",0.039,0.026,0.045,0,0.05,0.506,0.44
"P22","Gustavo Menéndez a intendente por Unión por la Patria",0.42,0.182,0.16,0.199,0.29,0.224,0.06
"P22","Zencich a intendente por Juntos por el Cambio",0.166,0.584,0.296,0,0.053,0,0.034
"P22","Eduardo Varela a intendente por la Libertad Avanza",0.041,0.061,0.333,0.124,0,0,0.158
"P22","Raul Othacehé a intendente por el frente vecinal crecer",0.202,0.09,0.11,0.088,0.338,0.127,0.275
"P22","El candidato a intendente de la Izquierda",0.078,0.014,0.011,0.127,0.011,0,0.012
"P22","En blanco",0.049,0.006,0.002,0.126,0,0.105,0.044
