"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P12_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.367,0.413,0.296,0.421
"P12_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.287,0.24,0.205,0.269
"P12_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.261,0.254,0.334,0.2
"P12_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.055,0.044,0.049,0.024
"P12_imputada","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.027,0.026,0.038,0.04
"P12_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.001,0.006,0.031,0.005
"P12_imputada","En blanco",0.002,0.017,0.047,0.041
"P16_imputada","Sergio Massa a presidente por Unión por la Patria",0.585,0.434,0.257,0.235
"P16_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.238,0.246,0.297,0.249
"P16_imputada","Javier Milei a presidente por la Libertad Avanza",0.17,0.252,0.273,0.353
"P16_imputada","Los candidatos a presidente de la Izquierda",0,0.031,0.066,0.142
"P16_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.001,0.022,0.078,0
"P16_imputada","En blanco",0.006,0.015,0.029,0.021
"P19_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.407,0.404,0.325,0.266
"P19_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.283,0.294,0.339,0.264
"P19_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.3,0.215,0.22,0.322
"P19_imputada","El candidato a gobernador de la Izquierda",0.003,0.046,0.053,0.08
"P19_imputada","En blanco",0.007,0.041,0.063,0.068
"P22_imputada","Gustavo Menéndez a intendente por Unión por la Patria",0.364,0.266,0.26,0.317
"P22_imputada","Zencich a intendente por Juntos por el Cambio",0.385,0.272,0.264,0.318
"P22_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.087,0.159,0.142,0.154
"P22_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.104,0.212,0.209,0.146
"P22_imputada","El candidato a intendente de la Izquierda",0.019,0.084,0.067,0
"P22_imputada","En blanco",0.041,0.007,0.058,0.065
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria",0.487,0.447,0.309,0.423
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.242,0.249,0.23,0.244
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.242,0.257,0.326,0.222
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.001,0.019,0.049,0.077
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.001,0.009,0.049,0.006
"PRESIDENTE_imputada","En blanco",0.027,0.019,0.037,0.028
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.388,0.428,0.342,0.442
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.269,0.271,0.24,0.244
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.313,0.243,0.31,0.211
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.003,0.027,0.048,0.048
"GOBERNADOR_imputada","En blanco",0.027,0.031,0.06,0.055
"INTENDENTE_imputada","Gustavo Menéndez a intendente por Unión por la Patria",0.366,0.359,0.311,0.455
"INTENDENTE_imputada","Zencich a intendente por Juntos por el Cambio",0.323,0.265,0.214,0.272
"INTENDENTE_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.211,0.221,0.267,0.135
"INTENDENTE_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.071,0.106,0.105,0.069
"INTENDENTE_imputada","El candidato a intendente de la Izquierda",0.009,0.046,0.051,0.021
"INTENDENTE_imputada","En blanco",0.02,0.003,0.052,0.048
