"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","0652A","0655A","652","653","654","655","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Gustavo Menéndez a intendente por Unión por la Patria",0.293,0.29,0.297,0.284,0.309,0.29,0.268,0.394,0.236,0.23,0.39,0.257,0.259,0.244,0.256,0.12,0.775,0.05,0.108,0.195,0.083
"Zencich a intendente por Juntos por el Cambio",0.301,0.294,0.308,0.274,0.285,0.345,0.325,0.298,0.304,0.299,0.232,0.414,0.32,0.354,0.347,0.104,0.129,0.608,0.696,0.316,0.107
"Eduardo Varela a intendente por la Libertad Avanza",0.137,0.139,0.134,0.155,0.11,0.152,0.16,0.105,0.139,0.203,0.173,0.059,0.103,0.124,0.14,0.268,0.024,0.184,0.099,0.474,0.105
"Raul Othacehé a intendente por el frente vecinal crecer",0.178,0.181,0.175,0.208,0.17,0.154,0.183,0.19,0.181,0.14,0.14,0.19,0.21,0.186,0.087,0.432,0.056,0.109,0.091,0,0.692
"El candidato a intendente de la Izquierda",0.052,0.065,0.038,0.035,0.08,0.025,0.043,0.009,0.072,0.091,0.02,0.057,0.098,0.069,0.066,0.035,0.016,0.049,0.006,0.015,0.003
"En blanco",0.039,0.031,0.048,0.044,0.046,0.034,0.021,0.004,0.068,0.037,0.045,0.023,0.01,0.023,0.104,0.041,0,0,0,0,0.01
