"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","0652A","0655A","652","653","654","655","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Si",0.286,0.266,0.306,0.263,0.322,0.259,0.268,0.293,0.265,0.327,0.274,0.235,0.383,0.345,0.196,0.345,0.209,0.215,0.245,0.201,0.519
"No",0.714,0.734,0.694,0.737,0.678,0.741,0.732,0.707,0.735,0.673,0.726,0.765,0.617,0.655,0.804,0.655,0.791,0.785,0.755,0.799,0.481
