"var","categoria","Unión por la Patria","Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco","No sabe"
"P05","Mucho",0.442,0.356,0.418,0.483,0.277,0.228,0.422,0.273
"P05","Bastante",0.334,0.346,0.329,0.117,0.089,0.119,0.175,0.178
"P05","Poco",0.149,0.2,0.153,0.156,0.276,0.377,0.125,0.266
"P05","Nada",0.044,0.084,0.076,0.155,0.358,0.131,0.278,0.068
"P05","No sabe",0.031,0.014,0.024,0.089,0,0.145,0,0.215
"P06","Siempre",0.206,0.209,0.26,0.263,0.028,0.033,0.231,0.065
"P06","Casi siempre",0.341,0.326,0.26,0.142,0.347,0.37,0.292,0.237
"P06","Casi nunca",0.236,0.338,0.306,0.433,0.586,0.366,0.232,0.465
"P06","Nunca, pero esta es una excepción",0.217,0.127,0.174,0.162,0.039,0.231,0.245,0.233
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.774,0.174,0.094,0.046,0.272,0.19,0.108,0.173
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.111,0.726,0.073,0.04,0.105,0.08,0.039,0.029
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.055,0.056,0.77,0.458,0.054,0.092,0.014,0.083
"P12","Raul Othacehé a intendente por el frente vecinal crecer",0.031,0.009,0.04,0.153,0.02,0.311,0.052,0.01
"P12","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.013,0.021,0.003,0.239,0.146,0.081,0,0
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.002,0,0,0.007,0.403,0.08,0,0
"P12","En blanco",0.004,0,0.01,0,0,0.069,0.492,0.098
"P12","No sabe",0.01,0.014,0.01,0.057,0,0.097,0.295,0.607
"P15","Si",0.367,0.516,0.527,0.446,0.666,0.761,0.72,0.641
"P15","No",0.633,0.484,0.473,0.554,0.334,0.239,0.28,0.359
"P16","Sergio Massa a presidente por Unión por la Patria",0.823,0.091,0.22,0.228,0.141,0.384,0.285,0.446
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0.072,0.732,0.104,0.047,0.098,0.053,0,0.112
"P16","Javier Milei a presidente por la Libertad Avanza",0.079,0.144,0.609,0.225,0.061,0.168,0.261,0.097
"P16","Los candidatos a presidente de la Izquierda",0.02,0,0.022,0.486,0,0.103,0,0
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.001,0.036,0.014,0.652,0,0.028,0
"P16","En blanco",0,0,0,0,0,0.032,0.201,0.109
"P16","No sabe",0.006,0.032,0.009,0,0.048,0.26,0.225,0.236
"P19","Axel Kicillof a gobernador por Unión por la Patria",0.779,0.072,0.19,0.181,0.323,0.769,0.166,0.158
"P19","Néstor Grindetti a gobernador por Juntos por el Cambio",0.071,0.726,0.236,0.093,0.138,0.098,0.028,0.054
"P19","Carolina Piparo a gobernadora por la Libertad Avanza",0.1,0.167,0.465,0.201,0.031,0.04,0.563,0.17
"P19","El candidato a gobernador de la Izquierda",0.02,0,0.062,0.267,0.016,0,0.034,0.063
"P19","En blanco",0,0.013,0.026,0.22,0.395,0,0.129,0.075
"P19","No sabe",0.03,0.022,0.021,0.038,0.097,0.093,0.08,0.48
"P22","Gustavo Menéndez a intendente por Unión por la Patria",0.546,0.138,0.194,0.095,0.387,0.09,0.113,0.168
"P22","Zencich a intendente por Juntos por el Cambio",0.075,0.621,0.288,0.266,0.033,0.028,0.277,0.057
"P22","Eduardo Varela a intendente por la Libertad Avanza",0.046,0.048,0.295,0.095,0,0.198,0.329,0.063
"P22","Raul Othacehé a intendente por el frente vecinal crecer",0.136,0.111,0.132,0.155,0.21,0.492,0.115,0.158
"P22","El candidato a intendente de la Izquierda",0.082,0.001,0.025,0.132,0,0.08,0.021,0.012
"P22","En blanco",0.068,0.006,0,0.103,0.013,0,0.145,0
"P22","No sabe",0.047,0.075,0.066,0.154,0.357,0.112,0,0.542
"P25","Totalmente seguro",0.675,0.662,0.74,0.401,0.142,0.515,0.33,0.222
"P25","Bastante seguro",0.191,0.198,0.168,0.251,0.36,0.049,0.02,0.171
"P25","Algo seguro",0.107,0.077,0.056,0.097,0.152,0.095,0.044,0.138
"P25","Para nada seguro",0.027,0.063,0.036,0.251,0.346,0.341,0.606,0.469
"P26","Tiene Decidido que va a ir a votar",0.9,0.918,0.893,0.817,0.511,0.853,0.646,0.552
"P26","Tiene dudas sobre si va a ir a  votar",0.037,0.069,0.084,0.046,0.489,0.078,0.178,0.191
"P26","Tiene Decidido que no va a ir a votar",0.063,0.013,0.023,0.137,0,0.069,0.176,0.257
"P27","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.206,0.596,0.694,0.624,0.306,0.238,0.203,0.456
"P27","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.103,0.194,0.093,0.069,0.228,0.03,0.124,0.021
"P27","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.511,0.116,0.07,0.121,0.14,0.296,0.395,0.048
"P27","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.096,0.035,0.052,0.088,0.316,0.19,0.074,0.116
"P27","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.021,0,0.028,0.08,0,0.069,0.063,0.032
"P27","No sabe",0.063,0.059,0.063,0.018,0.01,0.177,0.141,0.327
"P28","Lo votaría",0.781,0.14,0.12,0.032,0.271,0.108,0.501,0.226
"P28","Puede que lo vote",0.119,0.08,0.067,0.212,0.32,0.154,0.055,0.067
"P28","Nunca lo votaría",0.07,0.749,0.758,0.735,0.257,0.473,0.189,0.29
"P28","No sabe",0.03,0.031,0.055,0.021,0.152,0.265,0.255,0.417
"P29","Lo votaría",0.15,0.72,0.101,0.088,0.175,0.061,0,0.056
"P29","Puede que lo vote",0.035,0.088,0.285,0.175,0.128,0.116,0,0.196
"P29","Nunca lo votaría",0.756,0.177,0.503,0.681,0.686,0.664,0.718,0.368
"P29","No sabe",0.059,0.015,0.111,0.056,0.011,0.159,0.282,0.38
"P30","Lo votaría",0.107,0.086,0.719,0.557,0.079,0.094,0,0.173
"P30","Puede que lo vote",0.044,0.253,0.111,0.104,0.142,0.07,0.359,0.15
"P30","Nunca lo votaría",0.788,0.632,0.151,0.335,0.754,0.678,0.408,0.323
"P30","No sabe",0.061,0.029,0.019,0.004,0.025,0.158,0.233,0.354
"P31","Lo votaría",0.135,0.198,0.155,0.416,0.097,0.521,0.086,0.137
"P31","Puede que lo vote",0.084,0.181,0.118,0.073,0.153,0.024,0.08,0.08
"P31","Nunca lo votaría",0.687,0.562,0.648,0.485,0.75,0.385,0.688,0.38
