"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","NA","NA"
"Martín Soria a Diputado Nacional por Unión por la Patria",0.447,0.364,0.537,0.346,0.392,0.553,0.6,0.471,0.392,0.511,0.631,0.2,0.465,0.428,0.297,0.875,0.017,0.469,0.425,0.324,0.488,0.574,0.77,0.733,0.097,0.042,0.111,0.31,0.325
"Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.125,0.147,0.101,0.179,0.119,0.079,0.127,0.148,0.113,0.117,0.065,0.246,0.072,0.142,0.186,0.011,0.228,0.16,0.088,0.06,0.226,0.156,0.042,0.05,0.562,0.146,0.098,0.192,0.187
"Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.201,0.186,0.218,0.172,0.201,0.229,0.206,0.218,0.213,0.16,0.172,0.244,0.088,0.312,0.144,0.073,0.101,0.222,0.171,0.344,0.216,0.158,0.167,0.128,0.246,0.407,0.188,0.475,0.223
"Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.161,0.202,0.117,0.193,0.199,0.132,0.049,0.118,0.203,0.144,0.112,0.25,0.202,0.099,0.304,0.029,0.524,0.106,0.215,0.26,0.042,0.088,0.015,0.039,0.095,0.389,0.443,0.023,0.014
"Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.007,0.007,0.006,0,0.012,0.001,0.01,0,0.007,0.014,0.007,0,0,0.005,0,0.006,0.022,0.015,0.004,0.008,0,0,0.003,0.041,0,0.016,0.004,0,0
"En blanco",0.059,0.094,0.021,0.11,0.077,0.006,0.008,0.045,0.072,0.054,0.013,0.06,0.173,0.014,0.069,0.006,0.108,0.028,0.097,0.004,0.028,0.024,0.003,0.009,0,0,0.156,0,0.251
