"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Totalmente seguro",0.679,0.703,0.654,0.526,0.716,0.731,0.73,0.638,0.684,0.718,0.714,0.68,0.72,0.661,0.715,0.719,0.836,0.661,0.711,0.585,0.726,0.566,0.714,0.612,0.775,0.408,0.764
"Bastante seguro",0.131,0.121,0.141,0.171,0.121,0.118,0.115,0.117,0.163,0.096,0.122,0.148,0.195,0.124,0.125,0.147,0.102,0.18,0.116,0.133,0.095,0.114,0.148,0.18,0.098,0.195,0.086
"Algo seguro",0.089,0.078,0.101,0.095,0.098,0.068,0.093,0.108,0.087,0.073,0.085,0.081,0.041,0.117,0.085,0.053,0,0.085,0.069,0.106,0.101,0.195,0.089,0.08,0.102,0.173,0.065
"Para nada seguro",0.101,0.098,0.104,0.208,0.065,0.083,0.062,0.137,0.066,0.113,0.079,0.091,0.044,0.098,0.075,0.081,0.062,0.074,0.104,0.176,0.078,0.125,0.049,0.128,0.025,0.224,0.085
