"var","categoria","Martín Soria a Diputado Nacional por Unión por la Patria","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P37","Reducir el gasto público",0.509,0.34,0.35,0.426,0,0.313,0.459
"P37","Estimular la inversión extranjera",0,0.105,0.013,0.009,0,0.099,0.229
"P37","Aumentar los subsidios a los servicios públicos",0,0.087,0,0,0.458,0,0
"P38","Muy positiva",0.589,0.166,0.299,0.088,0.338,0.015,0.04
"P38","Positiva",0.076,0.125,0.29,0.141,0,0.188,0.123
"P38","Neutral",0.094,0.308,0.197,0.437,0,0.384,0.25
"P38","Algo negativa",0.109,0.211,0.05,0.032,0,0.06,0.035
"P38","Negativa",0.018,0.131,0.036,0.095,0,0.033,0.224
"P38","No sabe",0.114,0.059,0.128,0.207,0.662,0.32,0.328
"P39","Muy positiva",0.51,0.068,0.189,0.072,0.658,0.11,0.247
"P39","Positiva",0.061,0.06,0.354,0.392,0,0.04,0.062
"P39","Neutral",0.082,0.499,0.185,0.245,0,0.243,0.316
"P39","Algo negativa",0.021,0.211,0.192,0.082,0,0.13,0.267
"P39","Negativa",0.326,0.156,0.046,0.16,0.342,0.331,0.091
"P39","No sabe",0,0.006,0.034,0.049,0,0.146,0.017
"P40","Muy positiva",0.571,0.156,0.157,0.121,0,0,0
"P40","Positiva",0.293,0.113,0.105,0.203,0.247,0.116,0
"P40","Neutral",0.064,0.386,0.229,0.179,0,0.254,0.322
"P40","Algo negativa",0.017,0.193,0.038,0.273,0,0.102,0.068
"P40","Negativa",0.018,0.136,0.158,0.181,0,0.326,0.314
"P40","No sabe",0.037,0.016,0.313,0.043,0.753,0.202,0.296
"P41","Muy positiva",0.284,0.353,0.145,0.431,1,0.397,0.164
"P41","Positiva",0.2,0.079,0.319,0.364,0,0.124,0.267
"P41","Neutral",0.083,0.222,0.267,0.152,0,0.211,0.06
"P41","Algo negativa",0.125,0.196,0.255,0.015,0,0,0.065
"P41","Negativa",0.287,0.134,0.014,0.038,0,0.268,0.111
"P41","No sabe",0.021,0.016,0,0,0,0,0.333
"P42","Muy positiva",0.228,0.315,0.523,0.232,1,0.152,0.009
"P42","Positiva",0.321,0.025,0.064,0.12,0,0.102,0.441
"P42","Neutral",0.015,0.436,0.135,0.502,0,0.434,0.137
"P42","Algo negativa",0.327,0.042,0,0.05,0,0.1,0.011
"P42","Negativa",0,0.137,0.172,0.096,0,0.212,0.122
"P42","No sabe",0.109,0.045,0.106,0,0,0,0.28
"P43","Lo votaría",0.641,0.064,0.065,0.006,0.804,0.063,0
"P43","Puede que lo vote",0.203,0.006,0.019,0.021,0.196,0.06,0
"P43","Nunca lo votaría",0.144,0.93,0.916,0.821,0,0.877,0.721
"P43","No sabe",0.012,0,0,0.152,0,0,0.279
"P44","Lo votaría",0.598,0.451,0.035,0.056,0,0.005,0.126
"P44","Puede que lo vote",0.029,0.234,0.257,0.207,0,0.148,0.052
"P44","Nunca lo votaría",0.373,0.29,0.522,0.515,1,0.847,0.471
"P44","No sabe",0,0.025,0.186,0.222,0,0,0.351
"P45","Lo votaría",0.354,0.083,0.254,0.006,0,0,0
"P45","Puede que lo vote",0.038,0.099,0.077,0.179,0,0,0.202
"P45","Nunca lo votaría",0.494,0.701,0.448,0.607,0.198,0.842,0.622
"P45","No sabe",0.114,0.117,0.221,0.208,0.802,0.158,0.176
"P46","Lo votaría",0.381,0.229,0.583,0.858,0,0.916,0.499
"P46","Puede que lo vote",0.147,0.223,0.169,0.03,0,0.019,0.197
"P46","Nunca lo votaría",0.472,0.545,0.101,0.043,1,0.065,0.304
"P46","No sabe",0,0.003,0.147,0.069,0,0,0
"P47","Lo votaría",0.364,0.109,0.065,0.086,0,0,0
"P47","Puede que lo vote",0.314,0.021,0.004,0.029,0.802,0,0
"P47","Nunca lo votaría",0.192,0.862,0.489,0.67,0,1,0.549
"P47","No sabe",0.13,0.008,0.442,0.215,0.198,0,0.451
"P48","Si",0.149,0.269,0.27,0.64,0.819,0.834,0.367
"P48","No",0.851,0.731,0.73,0.36,0.181,0.166,0.633
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.407,0.176,0.176,0.005,0.804,0.076,0.138
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.298,0.435,0.238,0.045,0,0.028,0.068
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.284,0.308,0.532,0.877,0.196,0.896,0.785
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.011,0.004,0,0,0,0,0
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0.045,0.014,0.015,0,0,0
"PRESIDENTE","En blanco",0,0.004,0.04,0.012,0,0,0
"PRESIDENTE","No sabe",0,0.028,0,0.046,0,0,0.009
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.991,0,0,0,0,0,0
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0,1,0,0,0,0,0
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.009,0,1,0.012,0,0,0.013
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0,0,0,0.988,0,0,0
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0,0,0,1,0,0
"DIPUTADOS","En blanco",0,0,0,0,0,1,0
"DIPUTADOS","No sabe",0,0,0,0,0,0,0.987
"PRESIDENTE_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.407,0.204,0.176,0.006,0.804,0.076,0.147
"PRESIDENTE_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.298,0.435,0.238,0.077,0,0.028,0.068
"PRESIDENTE_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.284,0.308,0.532,0.89,0.196,0.896,0.785
"PRESIDENTE_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.011,0.004,0,0,0,0,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0.045,0.014,0.015,0,0,0
"PRESIDENTE_imputada","En blanco",0,0.004,0.04,0.012,0,0,0
"DIPUTADOS_imputada","Martín Soria a Diputado Nacional por Unión por la Patria",0.991,0,0,0,0,0,0.178
"DIPUTADOS_imputada","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0,1,0,0,0,0,0.219
"DIPUTADOS_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.009,0,1,0.012,0,0,0.133
"DIPUTADOS_imputada","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0,0,0,0.988,0,0,0.389
"DIPUTADOS_imputada","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0,0,0,1,0,0
"DIPUTADOS_imputada","En blanco",0,0,0,0,0,1,0.081
